Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"California Institute of Technology.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"quarter",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"Ph 2a","","",,,,3,"","",1
2,"Ma 2","","",,,,3,"","",1
3,"HSS Elective","","",,,,3,"","",1
4,"EE 44","","",,"2;1",,4,"","",1
5,"Electives","","",,,,3,"","",1
6,"Ph 2b","","","1",,,3,"","",2
7,"Ma 3","","","2",,,3,"","",2
8,"HSS Elective","","",,,,3,"","",2
9,"EE 45","","","4",,,4,"","",2
10,"EE 10a","","",,,,2,"","",2
11,"HSS Elective","","",,,,3,"","",3
12,"Ph 2c","","","6",,,3,"","",3
13,"EE 40","","","2;6",,,3,"","",3
14,"Ph 2c","","","6",,,3,"","",3
15,"EE 113","","","9",,,4,"","",3
16,"EE 10b","","","10",,,2,"","",3
17,"E 10","","",,,,1,"","",4
18,"Elective","","",,,,3,"","",4
19,"EE 111","","","2",,,3,"","",4
20,"EE 116","","","7",,,3,"","",4
21,"HSS Elective","","",,,,3,"","",4
22,"ACM 95a","","","2",,,4,"","",5
23,"E 11","","",,,,1,"","",5
25,"HSS Elective","","",,,,3,"","",5
26,"EE 163a","","",,,,3,"","",5
27,"Electives","","",,,,3,"","",5
24,"ACM 95b","","","2;22",,,4,"","",6
28,"HSS Elective","","",,,,3,"","",6
29,"EE 151","","","9",,,3,"","",6
30,"EE 90","","","9;13",,,3,"","",6
31,"Electives","","",,,,6,"","",6
32,"HSS Elective","","",,,,3,"","",7
33,"EE 91a","","","9",,,4,"","",7
34,"EE Elective","","",,,,3,"","",7
35,"Elective","","",,,,3,"","",7
36,"HSS Elective","","",,,,3,"","",8
37,"EE Elective","","",,,,3,"","",8
38,"Elective","","",,,,3,"","",8
39,"Elective","","",,,,6,"","",8
40,"HSS Elective","","",,,,3,"","",9
41,"EE Elective","","",,,,3,"","",9
42,"Elective","","",,,,3,"","",9
43,"Elective","","",,,,3,"","",9
