Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Columbia University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MATH UN1101","","",,,,3,"","",1
2,"PHYS UN1401","","",,"1",,3,"","",1
3,"CHEM UN1403","","",,"1",,3,"","",1
4,"ENGI E1102","","",,,,4,"","",1
5,"ENGI E1006","","",,,,3,"","",1
6,"MATH UN1102","","","1",,,3,"","",2
7,"PHYS UN1402","","","2","6",,3,"","",2
8,"Non-Tech Elective","","",,,,4,"","",2
9,"ENGL UN1010","","",,,,3,"","",2
10,"ELEN E1201","","","1",,,3,"","",2
11,"APMA E2000","","","6",,,3,"","",3
12,"PHYS UN1403","","","7","11",,3,"","",3
13,"ELEN E3801","","",,"11",,3,"","",3
14,"ELEN E3201","","","10","11",,3,"","",3
15,"ELEN E3084","","",,"13",,1,"","",3
16,"ELEN E3081","","","10","14",,1,"","",3
17,"PHYS UN1494","","","7;2",,,3,"","",4
18,"APMA E2101","","","11",,,3,"","",4
19,"ELEN E3331","","","14",,,3,"","",4
20,"ELEN E3083","","","16","19",,1,"","",4
21,"ELEN E3082","","",,"22",,1,"","",4
22,"CSEE E3827","","","5",,,3,"","",4
23,"PE 1001","","",,,,1,"","",4
24,"IEOR E3658","","","11",,,3,"","",5
25,"ELEN E3106","","","11","12",,3,"","",5
26,"COMS W3134","","",,,,3,"","",5
27,"Non-Tech Elective","","",,,,3,"","",5
28,"Non-Tech Elective","","",,,,4,"","",5
29,"ELEN E3401","","","7",,,4,"","",6
30,"ELEN E3701","","","13","24",,3,"","",6
31,"EE Tech Elective #1","","",,,,3,"","",6
32,"Focus Area Elective #1","","",,,,3,"","",6
33,"Other Elective #1","","",,,,4,"","",6
34,"ELEN E3399","","",,,,1,"","",7
35,"ELEN E3043","","","25;29",,,3,"","",7
36,"EE Tech Elective #2","","",,,,3,"","",7
37,"Focus Area Elective #2","","",,,,4,"","",7
38,"Other Elective #2","","",,,,4,"","",7
39,"PE UN1002","","",,,,1,"","",7
40,"ELEN E3390","","","13;29;19;21;20",,,3,"","",8
41,"EE Tech Elective #3","","",,,,3,"","",8
42,"Focus Area Elective #3","","",,,,3,"","",8
43,"Other Elective #3","","",,,,3,"","",8
44,"Non-Tech Elective","","",,,,3,"","",8
