Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Cornell University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 2090","","",,,,4,"","",1
2,"MATH 1910","","",,,,4,"","",1
3,"ENGRI","","",,,,3,"","",1
4,"PE","","",,,,3,"","",1
5,"WRITING SEMINAR","","",,,,3,"","",1
6,"PHYS 1112","","","2",,,4,"","",2
7,"MATH 1920","","","2",,,4,"","",2
8,"CS 111X","","",,,,4,"","",2
9,"WRITING SEMINAR","","",,,,3,"","",2
10,"PE","","",,,,3,"","",2
11,"PHYS 2213","","","7;6",,,4,"","",3
12,"MATH 2930","","","7",,,4,"","",3
13,"ECE 2100","","",,"11;12",,4,"","",3
14,"ECE 2300","","","8",,,4,"","",3
15,"Liberal Studies","","",,,,3,"","",3
16,"PHYS 2214","","","11;12",,,4,"","",4
17,"MATH 2940","","","7",,,4,"","",4
18,"ENGRD 2XXX","","","11",,,4,"","",4
19,"ECE 2200","","","8;12","17",,4,"","",4
20,"Liberal Studies","","",,,,3,"","",4
21,"ECE FOUND","","",,,,4,"","",5
22,"ECE 3400","","","13;14;19",,,4,"","",5
23,"OUTSIDE ECE TECH ELECT","","",,,,3,"","",5
24,"ADVISOR APPROVED ELECT","","",,,,3,"","",5
25,"Liberal Studies","","",,,,3,"","",5
26,"ECE FOUND","","",,,,4,"","",6
27,"ECE FOUND","","",,,,4,"","",6
28,"OUTSIDE ECE TECH ELECT","","",,,,3,"","",6
29,"ADVISOR APPROVED ELECT","","",,,,3,"","",6
30,"Liberal Studies","","",,,,3,"","",6
31,"CDE","","",,,,4,"","",7
32,"ECE ELECT","","",,,,4,"","",7
33,"OUTSIDE ECE TECH ELECT","","",,,,3,"","",7
34,"Liberal Studies","","",,,,3,"","",7
35,"ECE ELECT","","",,,,4,"","",8
36,"ECE ELECT","","",,,,4,"","",8
37,"ECE ELECT","","",,,,4,"","",8
38,"Liberal Studies","","",,,,3,"","",8
