Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Duke University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"EGR 103L","","",,"3",,4,"","",1
2,"Chem 101DL","","",,,,4,"","",1
3,"Math 111L","","",,,,4,"","",1
4,"Writing 101","","",,,,4,"","",1
5,"ECE 110L","","","1","6",,4,"","",2
6,"Math 112L","","","3",,,4,"","",2
7,"Physics 151L","","",,"6",,4,"","",2
8,"SS/H Elective","","",,,,4,"","",2
9,"ECE 280L","","","5",,,4,"","",3
10,"COMPSCI 201","","","1",,,4,"","",3
11,"MATH 212","","","6",,,4,"","",3
12,"Physics 152L","","","7",,,4,"","",3
13,"SS/H Elective","","",,,,4,"","",3
14,"ECE 230L","","","5;12",,,4,"","",4
15,"ECE 250D","","","10",,,4,"","",4
16,"Math 216","","","11",,,4,"","",4
17,"Biology Elective","","",,,,4,"","",4
18,"SS/H Elective","","",,,,4,"","",4
19,"ECE 270L","","","16;5;12",,,4,"","",5
20,"ECE Concentration Elective","","",,,,4,"","",5
21,"Math 353","","","16",,,4,"","",5
22,"SS/H Elective","","",,,,4,"","",5
23,"ECE Elective 1","","",,,,4,"","",6
24,"ECE Concentration Elective 2","","",,,,4,"","",6
25,"Statistics Elective","","","11",,,4,"","",6
26,"SS/H Elective","","",,,,4,"","",6
27,"ECE Elective 2","","",,,,4,"","",7
28,"ECE Concentration Elective 3","","",,,,4,"","",7
29,"Free Elective","","",,,,4,"","",7
30,"Free Elective","","",,,,4,"","",7
31,"ECE Elective 2","","",,,,4,"","",8
32,"ECE Concentration Elective 4","","",,,,4,"","",8
33,"Free Elective","","",,,,4,"","",8
34,"Free Elective","","",,,,4,"","",8
