Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Northwestern University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"Math 220","","",,,,4,"","",1
2,"Chem 101","","",,,,4,"","",1
3,"GenEng 205-1","","",,,,4,"","",1
4,"COMM ST 102","","",,,,4,"","",1
5,"Math 224","","","1",,,4,"","",2
6,"Chem 102","","","2",,,4,"","",2
7,"GenEng 205-2","","","3",,,4,"","",2
8,"DSGN 106-1","","",,,,4,"","",2
9,"Math 230","","","5",,,4,"","",3
10,"EECS 203","","",,,,4,"","",3
11,"GenEng 205-3","","","7",,,4,"","",3
12,"DSGN 106-2","","","8",,,4,"","",3
13,"EECS 202","","",,,,4,"","",4
14,"Physics 135-2","","","9;11",,,4,"","",4
15,"GenEng 205-4","","","9;11",,,4,"","",4
16,"SS/Hum","","",,,,4,"","",4
17,"EECS 221","","","13;14",,,4,"","",5
18,"Physics 135-3","","","14",,,4,"","",5
19,"Math 234","","","9",,,4,"","",5
20,"SS/Hum","","",,,,4,"","",5
21,"EECS 223","","","13;18",,,4,"","",6
22,"EECS 230","","","15",,,4,"","",6
23,"EECS 302","","","19",,,4,"","",6
24,"SS/Hum","","",,,,4,"","",6
25,"EECS 222","","","13",,,4,"","",7
26,"EECS 224","","","13;19;17",,,4,"","",7
27,"SS/Hum","","",,,,4,"","",7
28,"EECS 225","","","17",,,4,"","",8
29,"Tech Elective","","",,,,4,"","",8
30,"Tech Elective","","",,,,4,"","",8
31,"SS/Hum","","",,,,4,"","",8
32,"Tech Elective","","",,,,4,"","",9
33,"Tech Elective","","",,,,4,"","",9
34,"Unres Elective","","",,,,4,"","",9
35,"SS/Hum","","",,,,4,"","",9
36,"Tech Elective","","",,,,4,"","",10
37,"Basic Eng.","","",,,,4,"","",10
38,"Unres Elective","","",,,,4,"","",10
39,"SS/Hum","","",,,,4,"","",10
40,"Tech Elective","","",,,,4,"","",11
41,"EE Design","","",,,,4,"","",11
42,"Tech Elective","","",,,,4,"","",11
43,"Unres Elective","","",,,,4,"","",11
44,"Tech Elective","","",,,,4,"","",12
45,"Tech Elective","","",,,,4,"","",12
46,"Unres Elective","","",,,,4,"","",12
47,"Unres Elective","","",,,,4,"","",12
