Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Stanford University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"quarter",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MATH 19","","",,,,5,"","",1
2,"SCIENCE","","",,,,4,"","",1
3,"INTROSEM","","",,,,3,"","",1
4,"MATH 20","","","1",,,5,"","",2
5,"THINK","","",,,,4,"","",2
6,"PWR 1","","",,,,4,"","",2
7,"CS 106A","","",,,,5,"","",3
8,"WAYS","","",,,,5,"","",3
9,"MATH 21","","","4",,,5,"","",3
10,"ENGR 40M","","",,"7",,5,"","",3
11,"EE 100","","",,,,1,"","",4
12,"CS 106B","","","7",,,5,"","",4
13,"CME 102","","","9",,,5,"","",4
14,"WAYS","","",,,,5,"","",4
15,"EE 101A","","","10",,,4,"","",5
16,"EE 102A","","","13",,,4,"","",5
17,"PWR 2","","","6",,,4,"","",5
18,"PHYSICS 41","","","4",,,4,"","",5
19,"DISC. AREA REQ'D","","",,,,4,"","",6
20,"CME 100","","","9",,,5,"","",6
21,"EE 65","","","18",,,3,"","",6
22,"PHYSICS 43","","","9;18",,,4,"","",6
23,"WAYS","","",,,,5,"","",7
24,"EE ELECTIVE","","",,,,4,"","",7
25,"EE 103 (EEMATH)","","","20",,,5,"","",7
26,"WAYS","","",,,,5,"","",8
27,"EE 108","","",,,,4,"","",8
28,"DISC. AREA ELECTIVE","","",,,,3,"","",8
29,"EE ELECTIVE","","",,,,3,"","",8
30,"WAYS","","",,,,5,"","",9
31,"WAYS","","",,,,5,"","",9
32,"EE 178","","","1",,,4,"","",9
33,"EE ELECTIVE","","",,,,3,"","",9
34,"LANGUAGE 1","","",,,,5,"","",10
35,"DISC. AREA ELECTIVE","","",,,,3,"","",10
36,"EE ELECTIVE","","",,,,3,"","",10
37,"EE ELECTIVE","","",,,,4,"","",10
38,"LANGUAGE 2","","","34",,,5,"","",11
39,"DISC. AREA DESIGN","","",,,,4,"","",11
40,"EE ELECTIVE","","",,,,3,"","",11
41,"TIS","","",,,,4,"","",11
42,"LANGUAGE 3","","","38",,,5,"","",12
43,"WAYS","","",,,,5,"","",12
44,"ELECTIVE","","",,,,4,"","",12
