Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Texas AM University--College Station.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ENGL 104","","",,,,3,"","",1
2,"ENGR 111","","",,"3",,2,"","",1
3,"MATH 151","","",,,,4,"","",1
4,"PHYS 218","","",,,,4,"","",1
5,"CORE ELECT","","",,,,3,"","",1
6,"CHEM 107/117","","",,,,4,"","",2
7,"ENGR 112","","","2;3",,,2,"","",2
8,"MATH 152","","","3",,,4,"","",2
9,"PHYS 208","","","4","8",,4,"","",2
10,"CORE ELECT","","",,,,3,"","",2
11,"CSCE 121","","",,,,4,"","",3
12,"ECEN 248","","","9;8",,,4,"","",3
13,"MATH 251","","","8",,,3,"","",3
14,"CORE ELECT","","",,,,3,"","",3
15,"CORE ELECT","","",,,,3,"","",3
16,"ECEN 214","","","9;6","17",,4,"","",4
17,"MATH 308","","","13",,,3,"","",4
18,"MATH 311","","","13","17",,3,"","",4
19,"CORE ELECT","","",,,,3,"","",4
20,"CORE ELECT","","",,,,3,"","",4
21,"ECEN 314","","","16;17",,,3,"","",5
22,"ECEN 322","","","9;16;18",,,3,"","",5
23,"ECEN 325","","","18","21",,4,"","",5
24,"PHYS 222","","","4;17",,,3,"","",5
25,"COMM ELECT","","",,,,3,"","",5
26,"ECEN 303","","","17",,,3,"","",6
27,"ECEN 350","","","12",,,4,"","",6
28,"ECEN 370","","","24",,,3,"","",6
29,"TECH ELECT","","",,,,3,"","",6
30,"ECEN ELECT","","",,,,3,"","",6
31,"ECEN 403","","","23;27;21",,,3,"","",7
32,"ECEN 326","","","23;21",,,3,"","",7
33,"ECEN 453","","","22",,,3,"","",7
34,"ECEN 454","","","16;12",,,3,"","",7
35,"ECEN 457","","","23",,,3,"","",7
36,"ECEN 404","","","31",,,3,"","",8
37,"ENGR 482","","",,,,3,"","",8
38,"ECEN 415","","",,"40",,3,"","",8
39,"ECEN 438","","",,,,3,"","",8
40,"ECEN 420","","","17;21",,,3,"","",8
