Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of California--San Diego.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"quarter",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MATH 20A","","",,,,4,"","",1
2,"CHEM 6A","","",,,,4,"","",1
3,"ECE 15","","",,,,4,"","",1
4,"MATH 20B","","","1",,,4,"","",2
5,"PHYS 2A","","",,,,4,"","",2
6,"ECE 25","","",,,,4,"","",2
7,"MATH 20C","","","4",,,4,"","",3
8,"PHYS 2B","","","5",,,4,"","",3
9,"ECE 35","","","4","5",,4,"","",3
10,"MATH 20D","","","7",,,4,"","",4
11,"PHYS 2C","","","8",,,4,"","",4
12,"ECE 45","","","9",,,4,"","",4
13,"MATH 20E","","","10",,,4,"","",5
14,"PHYS 2D","","","11",,,4,"","",5
15,"ECE 65","","","9",,,4,"","",5
16,"MATH 18","","","1",,,4,"","",6
17,"ECE 30","","","3;6",,,4,"","",6
18,"ECE 107","","","14;12",,,4,"","",6
19,"ECE 100","","","15;12",,,4,"","",7
20,"ECE 101","","","12",,,4,"","",7
21,"ECE 103","","","14;15",,,4,"","",7
22,"ECE 102","","","19;15",,,4,"","",8
23,"ECE 109","","","13",,,4,"","",8
24,"ELECT #1","","",,,,4,"","",8
25,"ECE 163","","","22;20",,,4,"","",9
26,"ECE 164","","","22",,,4,"","",9
27,"ELECT #2","","",,,,4,"","",9
28,"ECE 165","","","22",,,4,"","",10
29,"ELECT #3","","",,,,4,"","",10
30,"ELECT #4","","",,,,4,"","",10
31,"ECE 166","","","22;18",,,4,"","",11
32,"ENG DESIGN","","",,,,4,"","",11
33,"ELECT #5","","",,,,4,"","",11
34,"DEPTH #5","","",,,,4,"","",12
35,"ELECT #6","","",,,,4,"","",12
36,"ELECT #7","","",,,,4,"","",12
