Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of Illinois--Urbana-Champaign.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 102","","",,,,3,"","",1
2,"Math 221","","",,,,4,"","",1
3,"ECE 110","","",,,,3,"","",1
4,"RHET 105","","",,,,4,"","",1
5,"GenED Elective","","",,,,3,"","",1
6,"CHEM 103","","",,,,1,"","",2
7,"Scientific Comp Basics","","",,,,3,"","",2
8,"Math 231","","","2",,,3,"","",2
9,"PHYS 211","","",,,,4,"","",2
10,"Free Elective ","","",,,,3,"","",2
11,"GenED Elective","","",,,,3,"","",3
12,"Free Elective ","","",,,,3,"","",3
13,"PHYS 212 ","","","9",,,4,"","",3
14,"Math 241","","","8",,,4,"","",3
15,"ECE 120","","",,,,4,"","",3
16,"Math 286","","","14",,,4,"","",4
17,"ECE 210","","","3",,,4,"","",4
18,"ECE 220","","","15",,,4,"","",4
19,"Free Elective ","","",,,,4,"","",4
20,"PHYS 213","","","13",,,2,"","",4
21,"PHYS 214","","","20",,,2,"","",5
22,"GenED Elective","","",,,,3,"","",5
23,"ECE 313","","","16",,,3,"","",5
24,"ECE 385","","","18",,,3,"","",5
25,"ECE 329","","","16;17",,,3,"","",5
26,"ECE 340","","","25;16;17;21",,,3,"","",6
27,"ECE 342","","","25",,,3,"","",6
28,"ECE 350","","","25",,,3,"","",6
29,"Free Elective ","","",,,,4,"","",6
30,"GenED Elective","","",,,,3,"","",6
31,"GenED Elective","","",,,,3,"","",7
32,"ECE 330","","","17",,,3,"","",7
33,"ECE 310","","",,,,3,"","",7
34,"Tech Elect","","",,,,3,"","",7
35,"Tech Elect","","",,,,3,"","",7
36,"ECE 445","","","24",,,4,"","",8
37,"GenED Elective","","",,,,3,"","",8
38,"Tech Elect","","",,,,3,"","",8
39,"Tech Elect","","",,,,3,"","",8
40,"Control Elect","","","17",,,3,"","",8
