Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of Texas--Austin.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"EE 302","","",,"3",,3,"","",1
3,"M 408C","","",,,,4,"","",1
4,"RHE 306","","",,,,3,"","",1
5,"UGS 302","","",,,,3,"","",1
21,"EE 306","","",,"3",,3,"","",1
6,"EE 319K","","","21",,,3,"","",2
7,"M 408D","","","3",,,4,"","",2
8,"PHY 303K","","","3",,,3,"","",2
9,"PHY 103M","","","3",,,1,"","",2
10,"Social or Bhev Elct","","",,,,3,"","",2
11,"EE 411","","","1","12",,4,"","",3
12,"M 427K","","","7",,,4,"","",3
13,"PHY 303L","","","9;8",,,3,"","",3
14,"PHY 103N","","","9;8",,,1,"","",3
15,"Visual Performing Arts Elect","","",,,,3,"","",3
16,"EE 313","","","11","18",,3,"","",4
17,"EE 312","","","6",,,3,"","",4
18,"M 340L","","","3",,,3,"","",4
19,"E 316K","","","4",,,3,"","",4
20,"GOV 310L","","",,,,3,"","",4
22,"EE 351K","","",,,,3,"","",5
23,"TECH CORE LAB","","",,,,4,"","",5
24,"EE 325","","","13;11;12",,,3,"","",5
25,"TECH CORE MATH","","",,,,3,"","",5
40,"EE 333T","","",,,,3,"","",5
26,"EE 339","","","13;14;12",,,3,"","",6
27,"EE 438","","","16;11",,,3,"","",6
28,"TECH CORE LAB","","",,,,4,"","",6
29,"Secondary TECH CORE  ","","",,,,3,"","",6
30,"CORE MATH","","",,,,3,"","",6
31,"EE 364D","","","40",,,3,"","",7
32,"EE 316","","","21",,,3,"","",7
33,"Secondary TECH CORE","","",,,,3,"","",7
34,"Secondary TECH CORE","","",,,,3,"","",7
35,"American History ","","",,,,3,"","",7
2,"American History ","","",,,,3,"","",8
36,"EE 464R","","","31",,,4,"","",8
37,"Secondary TECH CORE","","",,,,3,"","",8
38,"ELECT","","",,,,3,"","",8
39,"GOV 312L","","","20",,,3,"","",8
