Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Clarkson University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CM 131","","",,,,4,"","",1
2,"PH 131","","",,"3",,4,"","",1
3,"MA 131","","",,,,3,"","",1
4,"UNIV 190","","",,,,3,"","",1
5,"FY 100","","",,,,1,"","",1
6,"CM 132","","","1",,,4,"","",2
7,"PH 132","","","2","8",,4,"","",2
8,"MA 132","","","3",,,3,"","",2
9,"ES 110","","",,"8",,3,"","",2
10,"ES 100","","",,,,2,"","",2
11,"MA 232","","","8",,,3,"","",3
12,"ES 250","","","7","11",,3,"","",3
13,"ES","","",,,,3,"","",3
14,"EE 261","","",,,,3,"","",3
15,"KA/UC ELECT","","",,,,3,"","",3
16,"MA 231","","","8",,,3,"","",4
17,"EE 211","","",,"19;18",,3,"","",4
18,"EE 221","","","12",,,3,"","",4
19,"EE 264","","",,,,3,"","",4
20,"EE 324","","","11",,,3,"","",4
21,"STAT 383","","",,,,3,"","",5
22,"EE 311","","","17",,,3,"","",5
23,"EE 321","","","18",,,3,"","",5
24,"EE 331","","","12",,,3,"","",5
25,"EE 341","","","12",,,3,"","",5
26,"ES 499","","",,,,1,"","",5
27,"MATH ELECT","","",,,,3,"","",6
28,"EE 381","","","7;16",,,3,"","",6
29,"AREA ELECT","","",,,,3,"","",6
30,"AREA ELECT","","",,,,3,"","",6
31,"KA/UC ELECT","","",,,,3,"","",6
32,"EE 412","","","22",,,3,"","",7
33,"ES ELECT","","",,,,3,"","",7
34,"AREA ELECT","","",,,,3,"","",7
35,"AREA ELECT","","",,,,3,"","",7
36,"KA/UC ELECT","","",,,,3,"","",7
37,"AREA ELECT","","",,,,3,"","",8
38,"AREA ELECT","","",,,,3,"","",8
39,"KA/UC ELECT","","",,,,3,"","",8
40,"UNDESIG ELECT","","",,,,3,"","",8
41,"UNDESIG ELECT","","",,,,3,"","",8
