Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Embry-Riddle Aeronautical University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"EGR 101","","",,,,2,"","",1
2,"CS 223","","",,,,3,"","",1
3,"COM 122","","",,,,3,"","",1
4,"MA 241","","",,,,4,"","",1
5,"PS 150","","",,"4",,3,"","",1
6,"UNIV 101","","",,,,1,"","",1
7,"CS 225","","","2",,,4,"","",2
8,"SS 1XX","","",,,,3,"","",2
9,"HU 14X","","","3",,,3,"","",2
10,"MA 242","","","4",,,4,"","",2
11,"PS 160","","","5","10",,3,"","",2
12,"CEC 220","","",,,,3,"","",3
13,"CEC 222","","",,"12",,1,"","",3
14,"COM 219","","","3",,,3,"","",3
15,"MA 243","","","10",,,4,"","",3
16,"PS 250","","","10;11",,,3,"","",3
17,"PS 253","","",,"16",,1,"","",3
18,"CEC 320","","","12",,,3,"","",4
19,"CEC 322","","","13","18",,1,"","",4
20,"CEC 315","","","2",,,3,"","",4
21,"EE 223","","",,"23",,3,"","",4
22,"EE 224","","",,"21",,1,"","",4
23,"MA 345","","","15",,,4,"","",4
24,"Open Elective","","",,,,3,"","",4
25,"CEC 410","","","20",,,3,"","",5
26,"CEC 411","","",,"25",,1,"","",5
27,"EE 300","","","21",,,3,"","",5
28,"EE 302","","","21",,,3,"","",5
29,"EE 304","","",,"28",,1,"","",5
30,"EE 308","","","20",,,3,"","",5
31,"MA 441","","","23",,,3,"","",5
32,"COM 221","","","9",,,3,"","",6
33,"EC 225","","",,,,3,"","",6
34,"EE 340","","","31;21",,,3,"","",6
35,"EE 417","","","30",,,3,"","",6
36,"MA 412","","","10",,,3,"","",6
37,"CEC 460","","","18",,,3,"","",7
38,"EE 430","","","34;28",,,3,"","",7
39,"EE 430L","","",,"38",,1,"","",7
40,"EE 420","","",,"38",,3,"","",7
41,"HU/SS 3XX/4XX","","",,,,3,"","",7
42,"SYS 301","","","15",,,3,"","",7
43,"EE/CEC/MA/PS 3XX/4XX","","",,,,3,"","",8
44,"EE/CEC 3XX/4XX","","",,,,3,"","",8
45,"EE 421","","","40",,,3,"","",8
46,"EE 401","","","23",,,3,"","",8
47,"HU/SS (LL)","","",,,,3,"","",8
