Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"George Washington University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 1111","","",,,,4,"","",1
2,"ECE 1010","","",,,,1,"","",1
3,"UW 1020","","",,,,4,"","",1
4,"H/SS 1","","",,,,3,"","",1
5,"MATH 1231","","",,,,3,"","",1
6,"SEAS 1001","","",,,,1,"","",1
7,"ECE 1120","","",,,,3,"","",2
8,"ECE 1020","","",,,,1,"","",2
9,"H/SS 2","","",,,,3,"","",2
10,"MATH 1232","","","5",,,3,"","",2
11,"PHYS 1021","","","5",,,4,"","",2
12,"H/SS 3","","",,,,3,"","",2
13,"ECE 1125","","","7",,,3,"","",3
14,"ECE 2110","","",,"17;15",,4,"","",3
15,"APSC 2113","","",,"16",,3,"","",3
16,"Math 2233","","","10",,,3,"","",3
17,"Phys 1022","","","11",,,4,"","",3
18,"ECE 2120","","",,,,1,"","",3
19,"ECE 2210","","","14",,,3,"","",4
20,"APSC 2114","","","16;15",,,3,"","",4
21,"ECE 2115","","","14",,,4,"","",4
22,"ECE 2140","","","14",,,4,"","",4
23,"H/SS 4","","",,,,3,"","",4
24,"ECE 3220","","","19",,,3,"","",5
25,"APSC 3115","","","20",,,3,"","",5
26,"ECE 3130","","","22",,,4,"","",5
27,"ECE 3520","","","7;22",,,3,"","",5
28,"ECE 3315","","","17;15",,,3,"","",5
29,"ECE 3915W","","",,,,1,"","",6
30,"ECE 3125","","","21",,,4,"","",6
31,"ECE 3410","","","25;19",,,3,"","",6
32,"ECE 3135","","","22",,,4,"","",6
33,"ECE 4320","","","28;20",,,3,"","",6
34,"ECE Elective","","",,,,3,"","",7
35,"ECE Elective","","",,,,3,"","",7
36,"ECE 4920W","","","29",,,3,"","",7
37,"ECE 4710","","","19",,,3,"","",7
38,"Tech Elect 1","","",,,,3,"","",7
39,"ECE 4610","","","19;28",,,3,"","",8
40,"ECE 4925W","","","36",,,3,"","",8
41,"PHIL 2135","","",,,,3,"","",8
42,"Tech Elect 2","","",,,,3,"","",8
43,"Tech Elect 3","","",,,,3,"","",8
44,"H/SS 5","","",,,,3,"","",8
