Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Indiana University-Purdue University--Indianapolis.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ENGR 19500","","",,,,1,"","",1
2,"ENGR 19600","","",,,,3,"","",1
3,"MATH 16500","","",,,,4,"","",1
4,"CHEM C10500","","",,,,3,"","",1
5,"COMM R11000","","",,,,3,"","",1
6,"Cultural Understanding Elective","","",,,,3,"","",1
7,"PHYS 15200","","","3",,,4,"","",2
8,"MATH 16600","","","3",,,4,"","",2
9,"MATH 17100","","",,,,3,"","",2
10,"ENG W131","","",,,,3,"","",2
11,"Arts/Humanities Elective Elective","","",,,,3,"","",2
12,"MATH 26100","","","9;8",,,4,"","",3
13,"PHYS 25100","","","7",,,5,"","",3
14,"ECE 20100","","","7;8","15",,3,"","",3
15,"ECE 20700","","","7;8",,,1,"","",3
16,"ECE 26300","","",,"17",,3,"","",3
17,"ECE 26100","","",,,,1,"","",3
18,"MATH 26600","","","9;8",,,3,"","",4
19,"ECE 20200","","","14;13;12","18",,3,"","",4
20,"ECE 25500","","","14","21",,3,"","",4
21,"ECE 20800","","","15",,,1,"","",4
22,"ECE 27000","","","7;14;8",,,4,"","",4
23,"ENGR 29700","","","16",,,1,"","",4
24,"ECE 21000","","",,,,1,"","",4
25,"ECE 30100","","","19;18",,,3,"","",5
26,"ECE 31100","","","13;18",,,3,"","",5
27,"ECE 36200","","","16;22",,,4,"","",5
28,"TCM 36000","","",,,,2,"","",5
29,"ME 29500","","",,,,3,"","",5
30,"ECE 30200","","","25",,,3,"","",6
31,"ECE 38200","","","25",,,3,"","",6
32,"ECE 32700","","",,,,3,"","",6
33,"Math/Science/Tech Elective","","",,,,3,"","",6
34,"EE Elective","","",,,,3,"","",6
35,"ECE 44000","","","30",,,4,"","",7
36,"ECE 48700","","",,,,1,"","",7
37,"ECE 40100","","",,,,1,"","",7
38,"EE Elective","","",,,,3,"","",7
39,"EE Elective","","",,,,3,"","",7
40,"General Ed Elective","","",,,,3,"","",7
41,"ECE 48800","","","36",,,2,"","",8
42,"EE Elective","","",,,,3,"","",8
43,"EE Elective","","",,,,3,"","",8
44,"Restricted Elective","","",,,,1,"","",8
45,"Arts/Humanities Elective Elective","","",,,,3,"","",8
