Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Louisiana State University--Baton Rouge.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 1201","","",,,,3,"","",1
2,"MATH 1550","","",,,,5,"","",1
3,"EE 1810","","",,,,2,"","",1
4,"ART ELECT","","",,,,3,"","",1
5,"ENGL 1001","","",,,,3,"","",1
6,"EE 2740","","","2",,,3,"","",2
7,"CSC 1253","","","2",,,3,"","",2
8,"MATH 1552","","","2",,,4,"","",2
9,"PHYS 2110","","","2",,,3,"","",2
10,"PHYS 2108","","",,"9",,1,"","",2
11,"LIFE SCIENCE ELECT","","",,,,3,"","",2
12,"EE 2731","","","6",,,2,"","",3
13,"MATH 2070","","","8",,,4,"","",3
14,"EE 2120","","","3",,,3,"","",3
15,"PHYS 2113","","","9",,,3,"","",3
16,"HUM GEN ED","","",,,,3,"","",3
17,"MATH 2057","","","8",,,3,"","",4
18,"EE 2130","","","14;10",,,3,"","",4
19,"EE 2810","","","7","21",,2,"","",4
20,"EE 2230","","","14",,,3,"","",4
21,"EE 2231","","",,"20",,2,"","",4
22,"ENGL 2000","","","5",,,3,"","",4
23,"EE 3150","","","17",,,3,"","",5
24,"EE 3001","","",,,,3,"","",5
25,"EE 3610","","","18",,,3,"","",5
26,"EE 3160","","","19;18",,,3,"","",5
27,"EE 3755","","","6",,,3,"","",5
28,"EE 3320","","","17;18",,,3,"","",6
29,"EE 3410","","","18",,,3,"","",6
30,"EE 3752","","","7;6",,,3,"","",6
31,"EE 4625","","","23;25",,,3,"","",6
32,"SOCIAL SCIENCE ELECT","","",,,,3,"","",6
33,"HUM PHIL 2018","","",,,,3,"","",6
34,"EE 4002","","",,,,3,"","",7
35,"EE 4003","","",,,,3,"","",7
36,"EE 4000-1","","",,,,3,"","",7
37,"EE 4810","","","25;22",,,3,"","",7
38,"SOCL SCI","","",,,,3,"","",7
39,"EE DESIGN","","",,,,3,"","",8
40,"EE 4720","","","27;30",,,3,"","",8
41,"EE 4740","","","6",,,3,"","",8
42,"EE 4820","","","37",,,3,"","",8
43,"HUMN GEN ED","","",,,,3,"","",8
