Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"New Jersey Institute of Technology.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 125","","",,"4",,3,"","",1
2,"FED 101","","",,"4;3",,2,"","",1
3,"HUM 101","","",,,,3,"","",1
4,"MATH 111","","",,,,4,"","",1
5,"PHYS 111","","",,"4",,3,"","",1
6,"PHYS 111A","","",,"4;5",,1,"","",1
7,"FRESHMAN SEMINAR","","",,,,0,"","",1
8,"CS 115","","",,,,3,"","",2
9,"ECE 101","","",,,,0,"","",2
10,"HUM 102","","","3",,,3,"","",2
11,"MATH 112","","","4",,,4,"","",2
12,"PHYS 121","","","4;5","11",,3,"","",2
13,"PHYS 121A","","","4;5","12",,1,"","",2
14,"PE","","",,,,1,"","",2
15,"ECE 231","","","11;12",,,3,"","",3
16,"ECE 251","","","12",,,3,"","",3
17,"MATH 222","","","11",,,4,"","",3
18,"HUM 211","","","10",,,3,"","",3
19,"PHYS 234","","","11",,,3,"","",3
20,"PE","","",,,,1,"","",3
21,"ECE 232","","","17;15",,,3,"","",4
22,"ECE 252","","","16",,,3,"","",4
23,"ECE 271","","","15",,,3,"","",4
24,"ECE 291","","","3;15","21",,1,"","",4
25,"MATH 213","","","11",,,4,"","",4
26,"ECON 201","","",,,,3,"","",4
27,"ECE 333","","","17;21",,,3,"","",5
28,"ECE 361","","","25;17;15",,,3,"","",5
29,"ECE 372","","","23;21",,,3,"","",5
30,"ECE 395","","","22;24",,,2,"","",5
31,"EPS 202","","","3",,,3,"","",5
32,"ECE 321","","","27;21",,,3,"","",6
33,"ECE 362","","","28",,,3,"","",6
34,"ECE 374","","","23",,,3,"","",6
35,"ECE 392","","","23;29;24",,,2,"","",6
36,"ECE 341","","","15",,,3,"","",6
37,"PHIL 334","","","18",,,3,"","",6
38,"ECE 494","","","35;34;36",,,2,"","",7
39,"ECE 414","","","32;35;29;36;30",,,1,"","",7
40,"CONC TRACK 1","","",,,,3,"","",7
41,"CONC TRACK 2","","",,,,3,"","",7
42,"TECH ELECT","","",,,,3,"","",7
43,"GUR ELECT","","",,,,3,"","",7
44,"ECE 416","","","39",,,3,"","",8
45,"CONC TRACK LAB","","",,,,2,"","",8
46,"TECH ELECT","","",,,,3,"","",8
47,"TECH ELECT","","",,,,3,"","",8
48,"MGMT 390","","",,,,3,"","",8
49,"CAP SEMINAR","","",,,,3,"","",8
