Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"San Diego State University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"GE COMPOSITION","","",,,,3,"","",1
2,"MATH 150","","",,,,4,"","",1
3,"BIOL 100","","",,,,3,"","",1
4,"GE SOCIAL AND BEHAVIORAL SCIENCE","","",,,,3,"","",1
5,"GE HUMANITIES","","",,,,3,"","",1
6,"GE INTERMEDIATE COMPOSITION","","",,,,3,"","",2
7,"GE ORAL COMM","","",,,,3,"","",2
8,"PHYS 195","","","2",,,3,"","",2
9,"PHYS 195L","","",,"8",,1,"","",2
10,"GE HUMANITIES","","",,,,3,"","",2
11,"MATH 151","","","2",,,4,"","",2
12,"AMERICAN INSTITUTIONS","","",,,,3,"","",3
13,"COMPE 160","","","2",,,3,"","",3
14,"COMPE 270","","","11",,,3,"","",3
15,"MATH 254","","","11",,,3,"","",3
16,"PHYS 196","","","11;8",,,3,"","",3
17,"PHYS 196L","","",,"16",,1,"","",3
18,"GE HUMANITIES","","",,,,3,"","",4
19,"A E 280","","","11",,,3,"","",4
20,"COMPE 271","","","14",,,3,"","",4
21,"E E 210","","","16;11",,,3,"","",4
22,"MATH 252","","","11",,,4,"","",4
23,"GE EXPLORATIONS","","",,,,3,"","",5
24,"COMPE 375","","","20",,,3,"","",5
25,"E E 300","","","21",,,3,"","",5
26,"E E 310","","","21;22",,,3,"","",5
27,"E E 330","","","21",,,3,"","",5
28,"E E 330L","","",,"27",,1,"","",5
29,"GE EXPLORATIONS","","",,,,3,"","",6
30,"E E 340","","","19;21;22",,,3,"","",6
31,"E E 380","","","21",,,3,"","",6
32,"E E 410","","","26;25",,,3,"","",6
33,"E E 430","","","26;27;19",,,3,"","",6
34,"GE HUMANITIES","","",,,,3,"","",7
35,"E E 420","","","32",,,3,"","",7
36,"E E 434","","","27;30",,,3,"","",7
37,"E E 440","","","26;30",,,3,"","",7
38,"LAB ELECT","","",,,,2,"","",7
39,"PRO ELECT","","",,,,3,"","",7
40,"E E 490","","","32;28;33;24",,,4,"","",8
41,"PRO ELECT","","",,,,3,"","",8
42,"PRO ELECT","","",,,,3,"","",8
43,"PRO ELECT","","",,,,3,"","",8
44,"LAB ELECT","","",,,,1,"","",8
