Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Southern Methodist University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"EE 1350","","",,,,3,"","",1
2,"MATH 1337","","",,,,3,"","",1
3,"CHEM 1303","","",,,,3,"","",1
4,"CSE 1341","","",,,,3,"","",1
5,"Breadth","","",,,,3,"","",1
6,"Welness I","","",,,,1,"","",1
7,"MATH 1338","","","2",,,3,"","",2
8,"CSE 1342","","","4",,,3,"","",2
9,"PHYS 1303","","","2",,,3,"","",2
10,"PHYS 1105","","",,"9",,1,"","",2
11,"Breadth","","",,,,3,"","",2
12,"Breadth","","",,,,3,"","",2
13,"Welness II","","",,,,1,"","",2
14,"MATH 3313","","","7",,,3,"","",3
15,"MATH 3302","","",,,,3,"","",3
16,"PHYS 1304","","","7",,,3,"","",3
17,"EE 2350","","",,"14;16",,3,"","",3
18,"Depth","","",,,,3,"","",3
26,"Breadth","","",,,,3,"","",3
48,"Depth","","",,,,3,"","",3
19,"EE 2322","","","17","20",,3,"","",4
20,"EE 2122","","","17",,,1,"","",4
21,"EE 2370","","","14;17","22",,3,"","",4
22,"EE 2170","","","4",,,1,"","",4
23,"EE 2381","","",,"24",,3,"","",4
24,"EE 2181","","",,,,1,"","",4
25,"Foundations","","",,,,3,"","",4
27,"EE 3322","","","19;17;20","28",,3,"","",5
28,"EE 3122","","","19;20",,,1,"","",5
29,"EE 3311","","","3;17",,,3,"","",5
30,"EE 3330","","","17;15",,,3,"","",5
31,"EE 3352","","","17",,,3,"","",5
32,"Foundations","","",,,,3,"","",5
36,"EE 3360","","","22;21",,,3,"","",5
33,"EE 3372","","","22;21",,,3,"","",6
34,"EE 3381","","","23","35",,3,"","",6
35,"EE 3181","","","23;24",,,1,"","",6
37,"Advanced EE Elective - Area I","","",,,,3,"","",6
38,"Advanced EE Elective - Area II","","",,,,3,"","",6
39,"EE 4311","","","34;19",,,3,"","",7
40,"Advanced EE Elective - Area III","","",,,,3,"","",7
41,"Advanced Major Elective","","",,,,3,"","",7
42,"Advanced Math Elective","","",,,,3,"","",7
43,"Engineering Elective","","",,,,3,"","",7
47,"Advanced Major Elective","","",,,,3,"","",7
44,"EE 4312","","","39",,,3,"","",8
45,"Science Elective","","",,,,3,"","",8
46,"Engineering Leadership","","",,,,3,"","",8
