Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Texas Tech University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MATH 1451","","",,,,4,"","",1
2,"ECE 1304","","",,"1",,3,"","",1
3,"ENGL 1301","","",,,,3,"","",1
4,"POLS 1301","","",,,,3,"","",1
5,"HIST 2300","","",,,,3,"","",1
6,"MATH 1452","","","1",,,4,"","",2
7,"ECE 1305","","","1",,,3,"","",2
8,"ECE 2372","","","1",,,3,"","",2
9,"CHEM 1307","","",,"10",,3,"","",2
10,"CHEM 1107","","",,,,1,"","",2
11,"ENGL 1302","","","3",,,3,"","",2
12,"MATH 2450","","","6",,,4,"","",3
13,"ECE 3302","","","6",,,3,"","",3
14,"ECE 3362","","","8",,,3,"","",3
15,"PHYS 1408","","","1",,,4,"","",3
16,"POLS 2306","","",,,,3,"","",3
17,"MATH 3350","","","6",,,3,"","",4
18,"MATH 3342","","","12",,,3,"","",4
19,"ECE 3311","","","13",,,3,"","",4
20,"ECE 3331","","","7;13;8",,,3,"","",4
21,"ECE 3303","","","13;2","17",,3,"","",4
22,"ECE 3306","","","13",,,3,"","",4
23,"ECE 3332","","","14;19;21;20",,,3,"","",5
24,"ECE 3312","","","19;17;21",,,3,"","",5
25,"ECE 3323","","","21",,,3,"","",5
26,"PHYS 2401","","","15;6",,,4,"","",5
27,"Oral Communication","","",,,,3,"","",5
28,"ECE 3333","","","23;25;24",,,3,"","",6
29,"ECE 3341","","","26;17;21",,,3,"","",6
30,"ECE 3353","","","17;21",,,3,"","",6
31,"MATH 3351","","","17;12",,,3,"","",6
32,"HIST 2301","","","5",,,3,"","",6
33,"ENGR 2392","","",,,,3,"","",6
34,"ECE 4333","","","28",,,3,"","",7
35,"ECE 3342","","","31;29",,,3,"","",7
36,"ECE Jr./Sr. Elective","","",,,,3,"","",7
37,"ECE Jr./Sr. Elective","","",,,,3,"","",7
38,"Social & Behavioral Sciences","","",,,,3,"","",7
39,"ECE 4334","","","28",,,3,"","",8
40,"ECE Jr./Sr. Elective","","",,,,3,"","",8
41,"ECE Jr./Sr. Elective","","",,,,3,"","",8
42,"ECE Jr./Sr. Elective","","",,,,3,"","",8
43,"Creative Arts","","",,,,3,"","",8
