Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of Alabama.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CH 101","","",,"2",,4,"","",1
2,"MATH 125","","",,,,4,"","",1
3,"ECE 121","","",,,,1,"","",1
4,"EN 101","","",,,,3,"","",1
5,"HU/L/FA","","",,,,3,"","",1
6,"PH 105","","","2",,,4,"","",2
7,"MATH 126","","","2",,,4,"","",2
8,"ENGR 103","","","2",,,3,"","",2
9,"EN 102","","","4",,,3,"","",2
10,"PH 106","","","7;6",,,4,"","",3
11,"MATH 227","","","7",,,4,"","",3
12,"MATH 238","","",,"11",,3,"","",3
13,"CS 100","","","2",,,4,"","",3
14,"PH 253","","","10",,,3,"","",4
15,"MATH 237","","","11",,,3,"","",4
16,"ECE 225","","","10;12",,,4,"","",4
17,"ECE 380","","","13",,,4,"","",4
18,"HU/L/FA","","",,,,3,"","",4
19,"MATH 355","","","11",,,3,"","",5
20,"ECE 370","","","13;16",,,3,"","",5
21,"ECE 332","","","9;16",,,4,"","",5
22,"ECE 383","","","17",,,4,"","",5
23,"HU/L/FA","","",,,,3,"","",5
24,"ECE 326","","","19;16",,,3,"","",6
25,"ECE 350","","","16",,,3,"","",6
26,"ECE 333","","","21",,,4,"","",6
27,"ECE 330/ECE 455/PH 301","","",,,,3,"","",6
28,"HI/SB","","",,,,3,"","",6
29,"ECE 340","","","10;11",,,4,"","",7
30,"RA Elective","","",,,,3,"","",7
31,"ECE 492","","","26","32",,2,"","",7
32,"ECE Elective 1","","",,"33",,3,"","",7
33,"ECE Elective Lab 1","","",,,,1,"","",7
34,"HI/SB","","",,,,3,"","",7
35,"ECE Elective","","",,,,3,"","",8
36,"ECE Elective","","",,,,3,"","",8
37,"ECE 494","","","31",,,2,"","",8
38,"ECE Elective 2","","",,"39",,3,"","",8
39,"ECE Elective Lab 2","","",,,,1,"","",8
40,"HI/SB","","",,,,3,"","",8
