Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"arkansaseeSheet1.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ENGL 1013","","",,,,3,"","",1
2,"GNEG 1111","","",,,,1,"","",1
3,"MATH 2554","","",,,,4,"","",1
4,"PHYS 2054","","",,"3",,4,"","",1
5,"CHEM 1103","","",,,,3,"","",1
6,"ENGL 1023","","","1",,,3,"","",2
7,"GNEG 1121","","","2",,,1,"","",2
8,"MATH 2564","","","3",,,4,"","",2
9,"PHYS 2074","","","4","8",,4,"","",2
10,"HIST ELECT","","",,,,3,"","",2
11,"ELEG 2904","","",,,,4,"","",3
12,"ELEG 2104","","","8",,,4,"","",3
13,"MATH 2584","","","8",,,4,"","",3
14,"SCIENCE ELECT","","",,,,3,"","",3
15,"ELEG 2114","","","13;12",,,4,"","",4
16,"MATH 2574","","","8",,,4,"","",4
17,"CSCE 2004","","","3",,,4,"","",4
18,"HUMM ELECT","","",,,,3,"","",4
19,"ELEG 3924","","","11",,,4,"","",5
20,"ELEG 3124","","","13;12",,,4,"","",5
21,"ELEG 3214","","","9;16;15",,,4,"","",5
22,"ELEG 3704","","","9;16;15",,,4,"","",5
23,"ELEG 3304","","","15",,,4,"","",6
24,"ELEG 3143","","","20",,,3,"","",6
25,"ELEG 3224","","","13;21",,,4,"","",6
26,"SOCIAL SCIENCE ELECT","","",,,,3,"","",6
27,"TECH ELECT","","",,,,3,"","",6
28,"ELEG 4063","","","25;19",,,3,"","",7
29,"ELEG ELCT","","",,,,3,"","",7
30,"ELEG ELCT","","",,,,3,"","",7
31,"TECH ELECT","","",,,,3,"","",7
32,"ECON 2013","","",,,,3,"","",7
33,"FINE ARTS ELECT","","",,,,3,"","",7
34,"ELEG 4071","","","28",,,1,"","",8
35,"ELEG ELCT","","",,,,3,"","",8
36,"TECH ELECT","","",,,,3,"","",8
37,"TECH ELECT","","",,,,3,"","",8
38,"SOCIAL SCIENCE ELECT","","",,,,3,"","",8
