Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of California--Riverside.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"quarter",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CS 010","","",,,,4,"","",1
2,"EE 010","","",,,,1,"","",1
3,"ENGL 001A","","",,,,4,"","",1
4,"MATH 009A","","",,,,4,"","",1
5,"CS 013","","","1",,,4,"","",2
6,"ENGL 001B","","","3",,,4,"","",2
7,"MATH 009B","","","4",,,4,"","",2
8,"PHYS 040A","","","4",,,5,"","",2
9,"CS 061","","","1",,,4,"","",3
10,"EE 020","","","4;1",,,4,"","",3
11,"MATH 009C","","","7",,,4,"","",3
12,"PHYS 040B","","","8","11",,5,"","",3
13,"EE 001A","","",,"14;15",,4,"","",4
14,"MATH 046","","","7",,,4,"","",4
15,"PHYS 040C","","","11;12",,,5,"","",4
16,"CHEM 001A","","",,,,5,"","",4
17,"EE 001B","","","13",,,4,"","",5
18,"EE 120A","","","9",,,5,"","",5
19,"MATH 010A","","","7",,,4,"","",5
20,"HUMANITIES","","",,,,4,"","",5
21,"CS 120B","","","18",,,4,"","",6
22,"EE 116","","","17",,,4,"","",6
23,"MATH 010B","","","19",,,4,"","",6
24,"SOCIAL SCIENCES","","",,,,4,"","",6
25,"EE 100A","","","17",,,4,"","",7
26,"EE 110A","","","14;10;17",,,4,"","",7
27,"HUMANITIES","","",,,,4,"","",7
28,"EE 128","","","21",,,4,"","",7
29,"EE 100B","","","25",,,4,"","",8
30,"EE 105","","","13;10;14",,,4,"","",8
31,"EE 110B","","","26",,,4,"","",8
32,"BIOL 002","","",,,,4,"","",8
33,"EE 114","","","26",,,4,"","",9
34,"EE 132","","","26;30",,,4,"","",9
35,"SOCIAL SCIENCES","","",,,,4,"","",9
36,"TECH ELECT","","",,,,4,"","",9
37,"EE 133","","","25",,,4,"","",10
38,"EE 141","","","31",,,4,"","",10
39,"EE 175A","","","21",,,4,"","",10
40,"HUMANITIES","","",,,,4,"","",10
41,"EE 175B","","","39",,,4,"","",11
42,"TECH ELECT","","",,,,4,"","",11
43,"TECH ELECT","","",,,,4,"","",11
44,"ENGR 181W","","","6",,,4,"","",12
45,"SOCIAL SCIENCES","","",,,,4,"","",12
46,"TECH ELECT","","",,,,4,"","",12
