Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of Kentucky.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"FM","","",,,,3,"","",1
2,"CIS 110","","",,,,3,"","",2
3,"EGR 102","","","1",,,4,"","",2
4,"CHE 105","","",,,,4,"","",2
5,"EGR 101","","",,,,1,"","",2
6,"MA 113","","","3",,,4,"","",3
7,"CIS 111","","","2",,,3,"","",3
8,"EE 282","","","3",,,4,"","",3
9,"UK CORE","","",,,,3,"","",3
10,"ENG ELECT","","",,,,3,"","",3
11,"MA 114","","","6",,,4,"","",4
12,"PHY 231/24","","","6",,,4,"","",4
13,"EGR 103","","","3;6",,,2,"","",4
14,"CS 215","","","3",,,4,"","",4
15,"EE LAB","","",,,,1,"","",4
16,"MA 213","","","11",,,4,"","",5
17,"PHY 232/24","","","12",,,4,"","",5
18,"EE 211","","","11",,,4,"","",5
19,"UK CORE","","",,,,3,"","",5
20,"TECH ELECT","","",,,,3,"","",5
21,"MA 214","","","16",,,3,"","",6
22,"EE 223","","","18","21",,4,"","",6
23,"EE 287","","","8","14",,4,"","",6
24,"STA 320","","","16",,,3,"","",6
25,"UK CORE","","",,,,3,"","",6
26,"EE 415","","","17;22",,,3,"","",7
27,"EE 421","","","21;22",,,3,"","",7
28,"EE 461","","","22",,,3,"","",7
29,"EE LAB","","",,,,1,"","",7
30,"EE 468","","","16;22",,,4,"","",7
31,"TECH ELECT","","",,,,3,"","",7
32,"MATH ELECT","","",,,,3,"","",8
33,"EE 490","","",,,,3,"","",8
34,"EE TECH ELECT","","",,,,3,"","",8
35,"EE TECH ELECT","","",,,,3,"","",8
36,"UK CORE","","",,,,3,"","",8
37,"ENG ELECT","","",,,,3,"","",9
38,"EE 491","","","33",,,3,"","",9
39,"EE TECH ELECT","","",,,,3,"","",9
40,"EE TECH ELECT","","",,,,3,"","",9
41,"SUPPORT E","","",,,,3,"","",9
42,"UK CORE","","",,,,3,"","",9
