Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of Miami.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ECE 111","","",,,,3,"","",1
2,"ENG 105","","",,,,3,"","",1
3,"MTH 151","","",,,,5,"","",1
4,"PHY 205","","",,"3",,3,"","",1
5,"ECE 112","","","1",,,2,"","",2
6,"ECE 118","","",,,,3,"","",2
7,"ENG 107","","",,,,3,"","",2
8,"MTH 162","","","3",,,4,"","",2
9,"PHY 206","","","4","8",,3,"","",2
10,"PHY 208","","",,"9",,1,"","",2
11,"ECE 201","","","8",,,3,"","",3
12,"ECE 218","","","6",,,3,"","",3
13,"MTH 311","","","8",,,3,"","",3
14,"PHY 207","","","4;8",,,3,"","",3
15,"PHY 209","","",,"14",,1,"","",3
16,"HA Cognate","","",,,,3,"","",3
17,"ECE 202","","","11",,,3,"","",4
18,"ECE 203","","","11",,,1,"","",4
19,"ECE 206","","","13;11",,,3,"","",4
20,"ECE 211","","","6",,,3,"","",4
21,"MTH 210","","","8",,,3,"","",4
22,"CHM 151","","",,,,3,"","",4
23,"CHM 153","","",,"22",,1,"","",4
24,"ECE 301","","","14;21",,,3,"","",5
25,"ECE 302","","","17",,,3,"","",5
26,"ECE 303","","","18","25",,1,"","",5
27,"ECE 315","","","20",,,1,"","",5
28,"ECE 336","","","19",,,3,"","",5
29,"ECE 310","","","8",,,3,"","",5
30,"PS Cognate","","",,,,3,"","",5
31,"ECE 212","","","6;20",,,3,"","",6
32,"ECE 316","","","27",,,1,"","",6
33,"EE Core Elective","","",,,,3,"","",6
34,"EE Core Elective","","",,,,3,"","",6
35,"ECE Elective","","",,,,3,"","",6
36,"PS Cognate","","",,,,3,"","",6
37,"ECE 481","","",,,,1,"","",7
38,"ECE Elective","","",,,,3,"","",7
39,"ECE Elective","","",,,,3,"","",7
40,"ECE Design Elective","","",,,,3,"","",7
41,"Technical Elective","","",,,,3,"","",7
42,"PS Cognate","","",,,,3,"","",7
43,"ECE 482","","","37",,,2,"","",8
44,"Technical Elective","","",,,,3,"","",8
45,"Technical Elective","","",,,,3,"","",8
46,"HA Cognate","","",,,,3,"","",8
47,"HA Cognate","","",,,,3,"","",8
