Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of North Carolina--Charlotte.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"LBST 110X","","",,,,3,"","",1
2,"ENGR 1201","","",,"6",,2,"","",1
3,"CHEM 1251","","",,,,3,"","",1
4,"CHEM 1251L","","",,"3",,1,"","",1
5,"ECGR 2103","","",,,,3,"","",1
6,"MATH 1241","","",,,,3,"","",1
7,"ENGR 1202","","","2;6",,,2,"","",2
8,"PHYS 2101","","","6",,,3,"","",2
9,"PHYS 2101L","","",,"8",,1,"","",2
10,"LBST 2XXX","","",,,,3,"","",2
11,"UWRT 1103","","",,,,3,"","",2
12,"MATH 1242","","","6",,,3,"","",2
13,"ECGR 2111","","","8;12","16;17",,3,"","",3
14,"ECGR 2155","","","12","13",,1,"","",3
15,"ECGR 2181","","","12",,,3,"","",3
16,"MATH 2171","","","12",,,3,"","",3
17,"PHYS 2102","","","8;12",,,3,"","",3
18,"LBST 2301","","","11",,,3,"","",3
19,"ECGR 2112","","","13;16;17",,,3,"","",4
20,"ECGR 2156","","","14","19;15",,1,"","",4
21,"ECGR 2252","","","13;14;15","19",,2,"","",4
22,"MATH 2241","","","12",,,3,"","",4
23,"PHYS 3141","","","17;6;12",,,3,"","",4
24,"MATH 2164","","","6",,,3,"","",4
25,"ECGR 3111","","","19",,,3,"","",5
26,"ECGR 3121","","","19;22",,,3,"","",5
27,"ECGR 3131","","","19",,,3,"","",5
28,"ECGR 3155","","","19;20","25;27",,1,"","",5
29,"STAT 3128","","","22",,,3,"","",5
30,"LBST 2XXX","","",,,,3,"","",5
31,"ECGR 3122","","","26",,,3,"","",6
32,"ECGR 3132","","","27",,,3,"","",6
33,"ECGR 3142","","","26",,,3,"","",6
34,"ECGR 3156","","","28","32",,1,"","",6
35,"ECGR 3112","","","25",,,3,"","",6
36,"ECGR 3157","","","25;27;21",,,2,"","",6
37,"ENGR 3295","","",,,,1,"","",6
38,"ECGR 3159","","",,,,2,"","",7
39,"ECGR 4241","","","26;36",,,2,"","",7
40,"ECGR 4123","","","25",,,3,"","",7
41,"ECGR 4XXX","","",,,,3,"","",7
42,"ECGR 4XXX","","",,,,3,"","",7
43,"Technical Elective","","",,,,3,"","",7
44,"ECGR 4242","","","39",,,3,"","",8
45,"MEGR 3111","","","16;8",,,3,"","",8
46,"ECGR 4XXX","","",,,,3,"","",8
47,"ECGR 4XXX","","",,,,3,"","",8
48,"ECON 2101","","",,,,3,"","",8
