Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of Oklahoma.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CS 1113","","",,,,3,"","",1
2,"ENGR 1111","","",,,,3,"","",1
3,"CHEM 1414","","",,,,3,"","",1
4,"MATH 2144","","",,,,3,"","",1
5,"ENGL 1113","","",,,,3,"","",1
6,"CS 2133","","","1",,,3,"","",2
7,"PHYS 2014","","","4",,,4,"","",2
8,"MATH 2153","","","4",,,3,"","",2
9,"POLS 1113","","",,,,3,"","",2
10,"H ELECT","","",,,,3,"","",2
11,"ECEN 3233","","",,,,3,"","",3
12,"PHYS 2114","","","7",,,4,"","",3
13,"MATH 2233","","","8",,,3,"","",3
14,"MATH 2163","","","8",,,3,"","",3
15,"HIST 1103","","",,,,3,"","",3
16,"PHYS 3313","","","12",,,4,"","",4
17,"ECEN 2714","","","8;12",,,3,"","",4
18,"ENSC 2113","","","7;4",,,3,"","",4
19,"ENSC 3213","","","1",,,3,"","",4
20,"S ELECT","","",,,,3,"","",4
21,"ENGL 3323","","","5",,,3,"","",5
22,"ECEN 3714","","","13;17",,,4,"","",5
23,"MATH 3013","","","8",,,3,"","",5
24,"ECEN 3613","","","13;14;17",,,3,"","",5
25,"H ELECT","","",,,,3,"","",5
26,"IEM 3503","","","8",,,3,"","",6
27,"ECEN 3513","","","22",,,4,"","",6
28,"ECEN 3314","","","16;22",,,3,"","",6
29,"ECEN 3723","","","13",,,3,"","",6
30,"S/I/D ELECT","","",,,,3,"","",6
31,"ECEN 4013","","","19;28;11;22;21",,,3,"","",7
32,"ECEN 4503","","","27",,,3,"","",7
33,"ECEN Area Depth","","",,,,3,"","",7
34,"ECEN Area Depth","","",,,,3,"","",7
35,"ECEN Sen Breadth","","",,,,3,"","",7
36,"ECEN 4024","","","31",,,4,"","",8
37,"ECEN Area Depth","","",,,,3,"","",8
38,"ECEN Sen Breadth","","",,,,3,"","",8
39,"Controlled Elective ","","",,,,3,"","",8
