Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Florida Atlantic University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MAC 2311","","",,,,4,"","",1
2,"ENC 1101","","",,,,3,"","",1
3,"EGN 1002","","",,,,3,"","",1
4,"CHM 2045","","",,"5;1",,3,"","",1
5,"CHM 2045L","","",,,,1,"","",1
6,"MAC 2312","","",,,,4,"","",2
7,"ENC 1102","","","2",,,3,"","",2
8,"COP 2220","","",,,,3,"","",2
9,"PHY 2048","","","1",,,3,"","",2
10,"PHYL 2048","","",,"9",,1,"","",2
11,"MAC 2313","","",,,,4,"","",3
12,"IFP","","",,,,3,"","",3
13,"MAP 3305","","","6",,,3,"","",4
14,"PHY 2049","","","9;6",,,3,"","",4
15,"PHYL 2049","","",,"14",,1,"","",4
16,"IFP","","",,,,3,"","",4
17,"CDA 3201C","","",,,,4,"","",4
18,"EEL 3111","","","14;13;3;11",,,3,"","",5
19,"CDA 3331C","","",,,,4,"","",5
20,"IFP","","",,,,3,"","",5
21,"IFP","","",,,,3,"","",5
22,"EEE 3300","","","18",,,4,"","",6
23,"EEL 3118L","","",,"22",,2,"","",6
24,"EEL 3470","","","11;18",,,4,"","",7
25,"EEL 3112","","","18",,,2,"","",7
26,"EEE 4361","","","22",,,3,"","",7
27,"IFP","","",,,,3,"","",7
28,"STA 4821","","","6",,,3,"","",8
29,"EEL 4656","","","25",,,3,"","",8
30,"EEL 4652","","","25",,,3,"","",8
31,"EEL 4652L","","",,"30",,1,"","",8
32,"Upper Division Math Elective","","",,,,3,"","",8
33,"IFP","","",,,,3,"","",9
34,"EEL or Tech Elective","","",,,,3,"","",9
35,"EEL or Tech Elective","","",,,,3,"","",9
36,"EGN 4950C","","","19",,,2,"","",10
37,"EEL 4119L","","","26;23;29;24",,,3,"","",10
38,"EEE 4510","","","29",,,3,"","",10
39,"EEL or EEE Elective","","",,,,3,"","",10
40,"EEL or EEE Elective","","",,,,3,"","",10
41,"EGN 4952C","","","36",,,3,"","",11
42,"EEL 4512","","","29",,,3,"","",11
43,"EEL or EEE Elective","","",,,,3,"","",11
44,"EEL or Tech Elective","","",,,,3,"","",11
