Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Jackson State University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"UNIV 100","","",,,,2,"","",1
2,"MATH 241","","",,,,3,"","",1
3,"CSC 118","","",,,,3,"","",1
4,"CSCL 118","","",,"3",,1,"","",1
5,"HIST 101","","",,,,3,"","",1
6,"ENG 104","","",,,,3,"","",1
7,"MATH 242","","","2",,,3,"","",2
8,"EN 212","","",,,,3,"","",2
9,"ENL 212","","",,"8",,1,"","",2
10,"PHY 211","","","2",,,4,"","",2
11,"PHYL 211","","",,"10",,1,"","",2
12,"HIST 102","","",,,,3,"","",2
13,"ENG 105","","","6",,,3,"","",2
14,"MATH 243","","","7",,,3,"","",3
15,"PHY 212","","","7;10",,,4,"","",3
16,"PHYL 212","","","11","15",,1,"","",3
17,"CSC 119","","","3",,,3,"","",3
18,"CSCL 119","","","4","17",,1,"","",3
19,"EN 220","","","7;10",,,3,"","",3
20,"ENL 220","","",,"19",,1,"","",3
21,"EN 252","","","2",,,3,"","",4
22,"CPE 312","","","9;8",,,3,"","",4
23,"CHEM 141","","",,,,3,"","",4
24,"CHEML 141","","",,"23",,1,"","",4
25,"MATH 244","","","7",,,3,"","",4
26,"CPE 330","","","19",,,3,"","",4
27,"CPEL 330","","",,"26",,1,"","",4
28,"MATH 368","","","14",,,3,"","",5
29,"CPE 320","","","19",,,3,"","",5
30,"CPE 335","","",,,,3,"","",5
31,"CPE 245","","","21;15",,,3,"","",5
32,"CPE 351","","","19;21",,,3,"","",5
33,"CPE 360","","","19;22",,,3,"","",5
34,"CPEL 360","","",,"33",,1,"","",5
35,"MATH 307","","","7",,,3,"","",6
36,"CPE 355","","","32",,,3,"","",6
37,"CPE 331","","","26",,,3,"","",6
38,"CPEL 331","","","27","37",,1,"","",6
39,"EN 355","","","7",,,3,"","",6
40,"English Option","","",,,,3,"","",6
41,"CPE 440","","","32;35",,,3,"","",7
42,"CPE 490S","","","26;19;33",,,3,"","",7
43,"Tech Elective 1","","",,,,3,"","",7
44,"Philosophy Option","","",,,,3,"","",7
45,"Art Option","","",,,,3,"","",7
46,"CPE 491W","","","42",,,3,"","",8
47,"Tech Elective 2","","",,,,3,"","",8
48,"Tech Elective 3","","",,,,3,"","",8
49,"Speech Option","","",,,,3,"","",8
