Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Morgan State University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MATH 241","","",,,,4,"","",1
2,"ENGL 101","","",,,,3,"","",1
3,"SB ELECT","","",,,,3,"","",1
4,"OREN","","",,,,1,"","",1
5,"HH ELECT","","",,,,3,"","",1
6,"MATH 242","","","1",,,4,"","",2
7,"ENGL 102","","","2",,,3,"","",2
8,"EEGR 105","","","4",,,3,"","",2
9,"PHYS 205/L","","","1",,,5,"","",2
10,"PHYS 206/L","","","9",,,5,"","",3
11,"MATH 340","","","6",,,3,"","",3
12,"EEGR 202","","","6","10;11",,4,"","",3
13,"EEGR 203","","","9","12",,1,"","",3
14,"EEGR 161","","",,,,3,"","",3
15,"MATH 243","","","6",,,4,"","",4
16,"EEGR 221","","","11;12",,,4,"","",4
17,"EEGR 215","","","13;12",,,4,"","",4
18,"SB ELECT","","",,,,3,"","",4
19,"EEGR 211","","","13;14;12",,,3,"","",4
20,"EEGR 305","","","10;15;12",,,4,"","",5
21,"EEGR 322","","","19",,,3,"","",5
22,"EEGR 317","","","17",,,4,"","",5
23,"AH ELECT","","",,,,3,"","",5
24,"MATH 331","","","6",,,3,"","",6
25,"EEGR 390","","","19;16;22",,,3,"","",6
26,"NON EE ELECT","","",,,,3,"","",6
27,"ECE ELECT","","",,,,3,"","",6
28,"PHIL 109","","",,,,3,"","",6
29,"EEGR 490","","","25;22",,,2,"","",7
30,"EEGR 400","","","19;16;22",,,1,"","",7
31,"ECE ELECT","","",,,,3,"","",7
32,"ECE ELECT","","",,,,3,"","",7
33,"AH ELECT","","",,,,3,"","",7
34,"CHEM 110/L","","",,,,4,"","",7
35,"EEGR 491","","","29",,,2,"","",8
36,"ECE ELECT","","",,,,3,"","",8
37,"HIST 350","","",,,,3,"","",8
38,"NON EE ELECT","","",,,,3,"","",8
39,"PHEC","","",,,,1,"","",8
