Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Oakland University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"EGR 120","","",,,,1,"","",1
2,"MTH 154","","",,,,4,"","",1
3,"EGR 141","","",,"2",,4,"","",1
4,"CHM 143","","",,,,4,"","",1
5,"GEN ED","","",,,,4,"","",1
6,"EGR 240","","","3","7;8",,4,"","",2
7,"MTH 155","","","2",,,4,"","",2
8,"PHY 151","","","2",,,4,"","",2
9,"GEN ED","","",,,,4,"","",2
10,"ECE 276","","","6","11",,4,"","",3
11,"APM 255","","","7",,,4,"","",3
12,"PHY 152","","","8","7",,4,"","",3
13,"GEN ED","","",,,,4,"","",3
14,"EGR 250","","","4;3;11;8",,,4,"","",4
15,"EGR 260","","","7",,,4,"","",4
16,"EGR 280","","","6;1","14;15",,4,"","",4
17,"GEN ED","","",,,,4,"","",4
18,"MTH 254","","","7",,,4,"","",5
19,"ECE 327","","","10",,,4,"","",5
20,"ECE 335","","","10",,,3,"","",5
21,"GEN ED","","",,,,4,"","",5
22,"ECE 345","","","10;18",,,3,"","",6
23,"ECE 378","","","6",,,4,"","",6
24,"ECE 384","","",,,,3,"","",6
25,"MATH ELECT","","",,,,4,"","",6
26,"FREE ELECT","","",,,,4,"","",6
27,"ECE 351","","","10",,,3,"","",7
28,"ECE 431","","","10;20",,,4,"","",7
29,"ECE 437","","","19;20",,,4,"","",7
30,"PRO ELECT","","",,,,4,"","",7
31,"GEN ED","","",,,,4,"","",8
32,"ECE 491","","","23;29;27;19;28;22",,,4,"","",8
33,"PRO ELECT","","",,,,4,"","",8
34,"PRO ELCT","","",,,,3,"","",8
