Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Texas AM University--Kingsville.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ENGL 1301","","",,,,3,"","",1
2,"CHEM 1311","","",,,,3,"","",1
3,"CHEM 1111","","",,,,1,"","",1
4,"MATH 2413","","",,,,4,"","",1
5,"CSEN 2304","","",,,,3,"","",1
6,"UNIV 101","","",,,,1,"","",1
7,"ENGL 1302","","",,,,3,"","",2
8,"HIST 1301","","",,,,3,"","",2
9,"PHYS 2325","","","4","10",,3,"","",2
10,"PHYS 2125","","",,,,1,"","",2
11,"MATH 2414","","","4",,,4,"","",2
12,"EEEN 2340","","","5",,,3,"","",2
13,"UNIV 1102","","",,,,1,"","",2
14,"HIST 1302","","",,,,3,"","",3
15,"POLS 2301","","",,,,3,"","",3
16,"PHYS 2326","","","9;11","17",,3,"","",3
17,"PHYS 2126","","","10",,,1,"","",3
18,"MATH 3320","","","11",,,3,"","",3
19,"EEEN 3449","","","12",,,4,"","",3
20,"POLS 2302","","",,,,3,"","",4
21,"EEEN 2323","","","16;17;11;18",,,3,"","",4
22,"Language/Philosophy/Culture","","",,,,3,"","",4
23,"Communication","","",,,,3,"","",4
24,"Creative Arts","","",,,,3,"","",4
25,"MATH 3415","","","11",,,4,"","",5
26,"EEEN 3321","","","5;21;18",,,3,"","",5
27,"EEEN 3325","","","16;17;21",,,3,"","",5
28,"EEEN 3334","","","11",,,3,"","",5
29,"Social/Bheavioral","","",,,,3,"","",5
30,"EEEN 3212","","","27",,,2,"","",6
31,"EEEN 3333","","","26",,,3,"","",6
32,"MATH 4341","","","25",,,3,"","",6
33,"EEEN 3324","","","16;17;18",,,3,"","",6
34,"EEEN 4355","","","27;12",,,3,"","",6
35,"CEEN 3317","","",,,,3,"","",6
36,"EEEN 4342","","","27",,,3,"","",7
37,"EEEN 4422","","","26",,,4,"","",7
38,"EEEN 4252","","","23;31;19;30",,,2,"","",7
39,"EEEN 4354","","","31",,,3,"","",7
40,"Approved Elective","","",,,,3,"","",7
41,"EEEN 4224","","","38",,,2,"","",8
42,"EEEN 4329","","","31;28",,,3,"","",8
43,"Approved Elective","","",,,,3,"","",8
44,"Approved Elective","","",,,,3,"","",8
45,"Approved Elective","","",,,,3,"","",8
