Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Texas State University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 1335","","",,,,3,"","",1
2,"CHEM 1141","","",,"1",,1,"","",1
3,"MATH 2471","","",,,,4,"","",1
4,"US 1100","","",,,,1,"","",1
5,"ENG 1310","","",,,,3,"","",1
6,"COMM 1310","","",,,,3,"","",1
7,"PHYS 1430","","","3",,,4,"","",2
8,"ENGR 2300","","","2;1",,,3,"","",2
9,"MATH 2472","","","3",,,4,"","",2
10,"ENG 1320","","",,,,3,"","",2
11,"HIST 1310","","",,,,3,"","",2
12,"ENG Literature","","",,,,3,"","",3
13,"HIST 1320","","",,,,3,"","",3
14,"PHIL 1305","","",,,,3,"","",3
15,"EE 2400","","","3",,,4,"","",4
16,"MATH 3323","","","9",,,3,"","",4
17,"MATH 3373","","","9",,,3,"","",4
18,"PHYS 2425","","","7;9",,,4,"","",4
19,"CS 1428","","",,,,4,"","",4
20,"ECO 2301","","",,,,3,"","",5
21,"EE 2420","","","19",,,4,"","",5
22,"ENGR 3375","","","7;9",,,3,"","",5
23,"MATH 3377","","","9",,,3,"","",5
24,"PHYS 2435","","","7;9",,,4,"","",5
25,"POSI 2310","","",,,,3,"","",6
26,"EE 3400","","","16;15",,,4,"","",7
27,"EE 3340","","","17;24","26",,3,"","",7
28,"ENGR 3315","","",,,,3,"","",7
29,"IE 3320","","","9",,,3,"","",7
30,"POSI 2320","","",,,,3,"","",7
31,"EE 3420","","","21",,,4,"","",8
32,"EE 3350","","","26",,,3,"","",8
33,"EE 3355","","","26",,,3,"","",8
34,"EE 3370","","","26",,,3,"","",8
35,"Creative Arts Component","","",,,,3,"","",8
36,"EE 4350","","","32",,,3,"","",9
37,"EE 4370","","","26;34;29",,,3,"","",9
38,"EE 4377","","","34",,,3,"","",9
39,"EE Elective 1","","",,,,2,"","",9
40,"EE 4390","","","31;32;34","37",,3,"","",9
41,"EE 4372","","","31;15",,,3,"","",10
42,"EE Elective","","",,,,3,"","",10
43,"EE Elective","","",,,,3,"","",10
44,"EE 4391","","","40",,,3,"","",10
