Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Tuskegee University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"OREN 0100","","",,,,1,"","",1
2,"ENGL 0101","","",,,,3,"","",1
3,"CHEM 0231","","",,,,4,"","",1
4,"CHEM 0233","","",,"3",,1,"","",1
5,"MATH 0207","","",,,,4,"","",1
6,"EENG 0192","","",,,,3,"","",1
7,"PE","","",,,,1,"","",1
8,"OREN 0101","","","1",,,1,"","",2
9,"ENGL 0102","","","2",,,3,"","",2
10,"PHYS 0310","","","5",,,3,"","",2
11,"PHYS 0313","","",,"10",,1,"","",2
12,"MATH 0208","","","5",,,4,"","",2
13,"EENG 0221","","","5;6",,,3,"","",2
14,"EENG 221L","","",,"13",,1,"","",2
15,"PE","","",,,,1,"","",2
16,"MATH 0209","","","12",,,4,"","",3
17,"PHYS 0311","","","10",,,3,"","",3
18,"PHYS 0314","","",,"17",,1,"","",3
19,"EENG 0322","","","13;14;12",,,3,"","",3
20,"EENG 322L","","",,"19",,1,"","",3
21,"ENGL 0204","","","9",,,3,"","",3
22,"MUSC 102","","",,,,2,"","",3
23,"MATH 0307","","","16",,,3,"","",4
24,"EENG 0260","","","6",,,3,"","",4
25,"EENG 260L","","",,"24",,1,"","",4
26,"EENG 0325","","","19",,,3,"","",4
27,"EENG 0325L","","",,"26",,3,"","",4
28,"CSCI 0229","","","5",,,3,"","",4
29,"HIST 0103","","",,,,1,"","",4
30,"EENG 0333","","","19;16;17",,,3,"","",5
31,"EENG 0323","","","23;26",,,3,"","",5
32,"EENG 0330","","","26",,,3,"","",5
33,"EENG 330L","","",,"32",,1,"","",5
34,"HIST 0104","","","29",,,3,"","",5
35,"MATH 0461","","","23",,,3,"","",5
36,"EENG 0334","","","23;30",,,3,"","",6
37,"MENG 0211","","","5",,,3,"","",6
38,"EENG 0390","","",,,,3,"","",6
39,"EENG 0360","","","25;28;24",,,3,"","",6
40,"PSPE ELECT","","",,,,3,"","",6
41,"SCIENCE ELECT","","",,,,3,"","",6
42,"EENG 0431","","","31",,,3,"","",7
43,"EENG 431L","","",,"42",,1,"","",7
44,"EENG 493M","","","23",,,3,"","",7
45,"EENG 0324","","","31",,,3,"","",7
46,"TECH ELECT","","",,,,3,"","",7
47,"TECH ELECT LAB","","",,,,1,"","",7
48,"MENG 0237","","","5",,,3,"","",7
49,"EENG 0441","","",,,,1,"","",8
50,"EENG 0492","","","37;31;36;48;39",,,3,"","",8
51,"TECH ELECT","","",,,,3,"","",8
52,"TECH ELECT","","",,,,3,"","",8
53,"SOCIO HUM ELECT","","",,,,3,"","",8
54,"MENG 0429","","",,,,2,"","",8
