Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of Bridgeport.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CPSC 101","","",,,,3,"","",1
2,"ENGR 111","","",,,,3,"","",1
3,"ENGL 101","","",,,,3,"","",1
4,"MATH 110","","",,,,4,"","",1
5,"PHYS 207","","","4",,,4,"","",2
6,"MATH 112","","","4",,,4,"","",2
7,"CHEM 103","","",,,,4,"","",2
8,"SOCIAL SCIENCE ELECT","","",,,,3,"","",2
9,"PHYS 208","","","5;6",,,4,"","",3
10,"ELEG 233","","","4",,,3,"","",3
11,"ELEG 235","","",,"10",,1,"","",3
12,"MATH 215","","","6",,,4,"","",3
13,"ELEG 208","","","4",,,3,"","",3
14,"ELEG 234","","","10",,,2,"","",4
15,"ELEG 236","","","11","14",,1,"","",4
16,"MATH 281","","","12",,,3,"","",4
17,"FINE ART ELECT","","",,,,3,"","",4
18,"SOCIAL SCIENCE ELECT","","",,,,3,"","",4
19,"ELEG 210","","","4",,,3,"","",4
20,"ENGR 290","","",,,,3,"","",5
21,"ELEG 317","","","14;6",,,3,"","",5
22,"MATH 323","","","6",,,3,"","",5
23,"ELEG 348","","","10;11",,,3,"","",5
24,"CPEG 286","","","19",,,3,"","",5
25,"ELEG 337","","","23",,,3,"","",6
26,"ELEG 364","","","23;14",,,3,"","",6
27,"ELEG 315","","","9;10",,,3,"","",6
28,"ELEG 342","","","14;22",,,3,"","",6
29,"CPEG 315","","","19",,,4,"","",6
30,"ELEG 333","","","14;6",,,3,"","",7
31,"ELEG 349A","","",,,,2,"","",7
32,"TECH ELECT","","",,,,3,"","",7
33,"TECH ELECT","","",,,,3,"","",7
34,"HUMANITIES ELECT","","",,,,3,"","",7
35,"HUMANITIES ELECT","","",,,,3,"","",8
36,"ELEG 349B","","","31",,,2,"","",8
37,"ELEG ELECT","","",,,,3,"","",8
38,"ELEG ELECT","","",,,,3,"","",8
39,"ELEG ELECT","","",,,,3,"","",8
40,"ELEG ELECT","","",,,,3,"","",8
