Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of Denver.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 1010","","",,"2",,3,"","",1
2,"CHEM 1240","","",,,,1,"","",1
3,"FSEM 1111","","",,,,4,"","",1
4,"ENGR 1511","","",,,,1,"","",1
5,"ENGR 1611","","",,,,4,"","",1
6,"MATH 1951","","",,,,4,"","",1
7,"ENGR 1622","","",,,,4,"","",2
8,"MATH 1952","","","6",,,4,"","",2
9,"PHYS 1211","","","6",,,5,"","",2
10,"WRIT 1122","","",,,,4,"","",2
11,"ENGR 1632","","",,,,4,"","",3
12,"MATH 1953","","","8",,,4,"","",3
13,"PHYS 1212","","","9;8",,,5,"","",3
14,"WRIT 1133","","","10",,,4,"","",3
15,"COMP 1571","","",,,,3,"","",4
16,"ENCE 2101","","",,,,3,"","",4
17,"ENME 2510","","","9;6",,,4,"","",4
18,"Undergraduate Common Curriculum","","",,,,4,"","",4
19,"PHYS 1214","","","13;12",,,4,"","",4
20,"ENEE 2012","","","19;12",,,4,"","",5
21,"ENGR 1572","","","8;15;6",,,3,"","",5
22,"ENME 2541","","","17",,,3,"","",5
23,"MATH 2070","","","12",,,4,"","",5
24,"Undergraduate Common Curriculum","","",,,,4,"","",5
25,"ENEE 2022","","","23;20",,,4,"","",6
26,"ENGR 2950","","","16;22;21;20","29",,0,"","",6
27,"ENGR 3100","","","19",,,4,"","",6
28,"ENME 2520","","","23;17","29",,4,"","",6
29,"MATH 2080","","","12",,,4,"","",6
30,"ENEE 2211","","","25",,,4,"","",7
31,"ENEE 2611","","","19",,,4,"","",7
32,"ENEE 3111","","","23",,,4,"","",7
33,"ENGR 3530","","","25",,,3,"","",7
34,"ENGR 3611","","","23;29",,,3,"","",7
35,"ENCE 3210","","","16",,,4,"","",8
36,"ENEE 3130","","","32",,,3,"","",8
37,"ENGR 2610","","",,,,3,"","",8
38,"ENGR 3721","","",,,,3,"","",8
39,"ENGR 3722","","",,"38",,1,"","",8
40,"ENGR 3650","","","12",,,4,"","",8
41,"ENCE 3220","","","35",,,4,"","",9
42,"ENEE 2223","","","30",,,4,"","",9
43,"ENGR 2620","","",,,,3,"","",9
44,"ENEE 3011","","","19;1",,,4,"","",9
45,"ENGR 3510","","",,,,4,"","",10
46,"ENGR 3735","","","38;39",,,4,"","",10
47,"ENGR 3313","","","43;41",,,2,"","",10
48,"Undergraduate Common Curriculum","","",,,,4,"","",10
49,"Technical Elective","","",,,,4,"","",10
50,"ENGR 3323","","",,,,3,"","",11
51,"LGST XXXX Legal Studies Elective","","",,,,4,"","",11
52,"Undergraduate Common Curriculum","","",,,,4,"","",11
53,"Technical Elective","","",,,,4,"","",11
54,"ASEM 2XXXX Advanced Seminar","","",,,,4,"","",12
55,"ENGR 3333","","",,,,3,"","",12
56,"ENGR 3970","","",,,,4,"","",12
57,"ENGR 2951","","","50",,,0,"","",12
58,"Technical Elective","","",,,,4,"","",12
