Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of North Texas.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MATH 1710","","",,,,4,"","",1
2,"CHEM 1410","","",,"3",,3,"","",1
3,"CHEM 1430","","",,,,1,"","",1
4,"EENG 1910","","",,,,3,"","",1
5,"Communication Core","","",,,,3,"","",1
6,"CSCE 103","","",,,,4,"","",1
7,"MATH 1720","","","1",,,3,"","",2
8,"PHYS 1710","","","1","9",,3,"","",2
9,"PHYS 1730","","","1",,,1,"","",2
10,"EENG 2711","","","4;1","11",,3,"","",2
11,"EENG 2710","","",,,,3,"","",2
12,"TECM 2700","","","5",,,3,"","",2
13,"MATH 2730","","","7",,,3,"","",3
14,"PHYS 2220","","","7;9;8","15",,3,"","",3
15,"PHYS 2240","","","7;9;8",,,1,"","",3
16,"EENG 2610","","","7","14;15",,3,"","",3
17,"EENG 2611","","","11","16",,3,"","",3
18,"University Core","","",,,,3,"","",3
19,"MATH 2700","","","7",,,3,"","",4
20,"MATH 3410","","","7","19",,3,"","",4
21,"EENG 2620","","","13;16",,,3,"","",4
22,"EENG 2920","","","16",,,3,"","",4
23,"University Core","","",,,,3,"","",4
24,"MATH 3680","","","1","7",,3,"","",5
25,"EENG 3410","","","16;20",,,3,"","",5
26,"EENG 3510","","","16",,,3,"","",5
27,"EENG 3910","","","21",,,3,"","",5
28,"University Core","","",,,,3,"","",5
29,"University Core","","",,,,3,"","",5
30,"EENG 3520","","","26",,,3,"","",6
31,"EENG 3710","","","11",,,3,"","",6
32,"EENG 3810","","","26;21;24",,,3,"","",6
33,"EENG 3920","","",,"30",,3,"","",6
34,"University Core","","",,,,3,"","",6
35,"EENG Elective","","",,,,3,"","",7
36,"EENG Elective","","",,,,3,"","",7
37,"EENG 4910","","","32;27;33",,,3,"","",7
38,"OPSM 3830","","",,,,3,"","",7
39,"University Core","","",,,,3,"","",7
40,"EENG Elective","","",,,,3,"","",8
41,"EENG Elective","","",,,,3,"","",8
42,"EENG 4990","","","37",,,3,"","",8
43,"MGMT 3850","","",,,,3,"","",8
44,"University Core","","",,,,3,"","",8
