Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"University of Tennessee--Chattanooga.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ENME 1011","","",,,,1,"","",1
2,"ENME 1030","","",,"3",,4,"","",1
3,"MATH 1950","","",,,,4,"","",1
4,"CHEM 1110","","",,,,4,"","",1
5,"ENGL 1010","","",,,,3,"","",1
6,"ENCE 1040","","","2",,,3,"","",2
7,"MATH 1960","","","3",,,4,"","",2
8,"MATH 2200","","","3",,,3,"","",2
9,"ENGL 1020","","","5",,,3,"","",2
10,"ECON 1010","","","3",,,3,"","",2
11,"ENEE 2250","","","6","14",,3,"","",3
12,"ENEE 2700","","",,"14;13",,4,"","",3
13,"PHYS 2310","","","7;2",,,4,"","",3
14,"MATH 2450","","","7;8",,,3,"","",3
15,"HUMANITIES","","",,,,3,"","",3
16,"ENEE 2740","","","12",,,3,"","",4
17,"ENEE 2720","","","14;13;12",,,3,"","",4
18,"ENCE 2220","","","7",,,3,"","",4
19,"ENGL 2810","","","9",,,3,"","",4
20,"MATH 2560","","","8",,,4,"","",4
21,"ENEE 3250","","","14;17",,,3,"","",5
22,"ENEE 3720","","","17;11",,,4,"","",5
23,"ENEE 3750","","","12;20",,,3,"","",5
24,"ENEE 3800","","",,"23",,4,"","",5
25,"ECON 1020","","","3",,,3,"","",5
26,"ENEE 3790","","","21",,,3,"","",6
27,"ENEE 4720","","","24",,,3,"","",6
28,"ENEE 4720L","","",,"27",,1,"","",6
29,"EE ELECT","","",,,,3,"","",6
30,"EE ELECT","","",,,,1,"","",6
31,"HUMANITIES","","",,,,3,"","",6
32,"ENCE 3850","","","22",,,3,"","",7
33,"ENEE 4800","","","21;18",,,3,"","",7
34,"ENEE 4750","","","21;18",,,3,"","",7
35,"ENEE 4620","","","27;22",,,3,"","",7
36,"TECH ELECT","","",,,,3,"","",7
37,"TECH ELECT","","",,,,3,"","",7
38,"ENEE 4500","","","26;32",,,3,"","",8
39,"ENEE 4900","","","32",,,1,"","",8
40,"EE ELECT","","",,,,3,"","",8
41,"EE ELECT","","",,,,3,"","",8
42,"EE ELECT","","",,,,1,"","",8
43,"NON WEST CULTURE","","",,,,3,"","",8
