Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Western Michigan University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MATH 1220","","",,,,4,"","",1
2,"CHEM 1100","","",,,,4,"","",1
3,"IEE 1020","","",,,,3,"","",1
4,"ECE 2500","","",,,,3,"","",1
5,"GEN ED ELCT","","",,,,2,"","",1
6,"MATH 1230","","","1",,,4,"","",2
7,"PHYS 2050","","","1","6",,5,"","",2
8,"CS 1200","","",,,,3,"","",2
9,"GEN ED ELECT","","",,,,3,"","",2
10,"MATH 2720","","","6",,,4,"","",3
11,"PHYS 2070","","","7;6","10",,5,"","",3
12,"ECE 2510","","","4;8",,,4,"","",3
13,"GEN ED ELECT","","",,,,3,"","",3
14,"MATH 3740","","","10",,,4,"","",4
15,"ECE 2100","","","11;6",,,4,"","",4
16,"CHEM 1120","","","2",,,4,"","",4
17,"PHYS 3090","","","10;11",,,5,"","",4
18,"GEN ED ELCT","","",,,,4,"","",4
19,"ECE 2210","","","11;15",,,4,"","",5
20,"ECE 3100","","","14;15",,,3,"","",5
21,"ECE 3610","","","14;11;15",,,4,"","",5
22,"ENG SCI ELCT","","",,,,3,"","",5
23,"GEN ED ELECT","","",,,,3,"","",5
24,"ECE 3200","","","19;20",,,4,"","",6
25,"ECE 3710","","","20",,,3,"","",6
26,"ECE 3800","","","20",,,3,"","",6
27,"IEE 3160","","","3",,,3,"","",6
28,"ENG SCI ELCT","","",,,,3,"","",6
29,"ECE 4810","","","27;12;24",,,2,"","",7
30,"ECE 3300","","","21;20",,,4,"","",7
31,"IEE 3100","","","6",,,3,"","",7
32,"ECE 4510","","","19;12",,,3,"","",7
33,"ENG SCI ELCT","","",,,,3,"","",7
34,"ECE 4820","","",,,,3,"","",8
35,"ECE 4200","","","30;4;24",,,3,"","",8
36,"ECE 4550","","","26",,,3,"","",8
37,"ENG SCI ELCT","","",,,,3,"","",8
38,"GEN ED ELECT","","",,,,3,"","",8
