Curriculum,Circuits I Design Pattern,,,,,,,,,
Degree Plan,Calculus ready,,,,,,,,,
Institution,,,,,,,,,,
Degree Type,,,,,,,,,,
System Type,,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
11,College Algebra,,,,,,3,,,1
10,Precalculus,,,11,,,4,,,2
1,Calculus I,,,10,,,4,,,3
2,Calculus II,,,1,,,4,,,4
3,Physics I,,,1,,,3,,,4
4,Physics I Lab,,,,3,,1,,,4
5,Physics II,,,3;4,,,3,,,5
6,Physics II Lab,,,,5,,1,,,5
7,Differential Eqs.,,,2,,,3,,,5
8,Circuits I,,,5;7,,,3,,,5
9,Circuits II,,,8,,,3,,,6
