Curriculum,Circuits I Design Pattern,,,,,,,,,
Degree Plan,Calculus ready,,,,,,,,,
Institution,,,,,,,,,,
Degree Type,,,,,,,,,,
System Type,,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
<<<<<<< HEAD
11,Foundational Math,,,,,,3,,,1
10,College Algebra,,,11,,,3,,,2
9,Precalculus,,,10,,,4,,,3
1,Calculus I,,,9,,,4,,,4
2,Calculus II,,,1,,,4,,,5
3,Physics I,,,1,,,3,,,5
4,Physics I Lab,,,,3,,1,,,5
5,Physics II,,,"3,4",,,3,,,6
6,Physics II Lab,,,,5,,1,,,6
7,Differential Eqs.,,,2,,,3,,,6
8,Circuits I,,,"5,7",,,3,,,6
=======
1,Foundational Math,,,,,,3,,,1
2,College Algebra,,,1,,,3,,,2
3,Precalculus,,,2,,,3,,,3
4,Calculus I,,,3,,,4,,,4
5,Calculus II,,,4,,,4,,,5
6,Physics I,,,4,,,4,,,5
7,Programming I,,,4,,,3,,,5
8,Calculus III,,,5,,,4,,,6
9,Differential Eqs.,,,5,,,3,,,6
10,Circuits I,,,"7;6;9",,,3,,,7
>>>>>>> 0e0995ce3875129e2bf75a0bf686ddb56860ceac
