Curriculum,Circuits I Design Pattern,,,,,,,,,
Degree Plan,Calculus ready,,,,,,,,,
Institution,,,,,,,,,,
Degree Type,,,,,,,,,,
System Type,,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
<<<<<<< HEAD
9,Precalculus,,,,,,4,,,1
1,Calculus I,,,9,,,4,,,2
2,Calculus II,,,1,,,4,,,3
3,Physics I,,,1,,,3,,,3
4,Physics I Lab,,,,3,,1,,,3
5,Physics II,,,"3,4",,,3,,,4
6,Physics II Lab,,,,5,,1,,,4
7,Differential Eqs.,,,2,,,3,,,4
8,Circuits I,,,"5,7",,,3,,,4
=======
1,Precalculus,,,,,,3,,,1
2,Calculus I,,,1,,,4,,,2
3,Calculus II,,,2,,,4,,,3
4,Physics I,,,2,,,4,,,4
5,Programming I,,,2,,,3,,,4
6,Calculus III,,,3,,,4,,,4
7,Differential Eqs.,,,3,,,3,,,5
8,Circuits I,,,"5;4;7",,,3,,,5
>>>>>>> 0e0995ce3875129e2bf75a0bf686ddb56860ceac
