Curriculum,EE Program,,,,,,,,,
Degree Plan,Curricular Pattern-Precalculus Ready ,,,,,,,,,
Institution,Wright State University ,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,,,,8,,,4,,Calculus I,2
2,,,,1,,,4,,Calculus II,3
3,,,,1,,,4,,Physics I,3
4,,,,1,,,3,,Programming I,3
5,,,,2,,,4,,Calculus III,4
6,,,,2,,,3,,Differential Eqs.,4
7,,,,"3;4;6",,,3,,Circuits I,5
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
8,Precalculus,,,,,,3,,,1
