Course 1,Course 2,Take C1 Only,Take C1 Only Passed,Take Both,Take Both Passed C1,R(C1 only),R(Both),Toxic Or Synergistic
FAM 502,FAM 499,220,210,44,43,0.9545454545454546,0.9772727272727273,-0.022727272727272707
FAM 502,FAM 402,121,112,85,85,0.9256198347107438,1.0,-0.07438016528925617
FAM 502,HES 400,136,129,51,50,0.9485294117647058,0.9803921568627451,-0.031862745098039214
FAM 502,FAM 544,116,110,42,40,0.9482758620689655,0.9523809523809523,-0.004105090311986803
ME  325,ME  205,1607,1362,36,32,0.8475420037336652,0.8888888888888888,-0.04134688515522367
ME  325,ME  599,1605,1357,67,63,0.8454828660436137,0.9402985074626866,-0.09481564141907295
ME  325,ME  501,1474,1246,223,197,0.8453188602442334,0.8834080717488789,-0.038089211504645504
ME  325,ME  344,674,561,968,833,0.8323442136498517,0.8605371900826446,-0.02819297643279295
ME  325,BAE 400,664,561,122,104,0.8448795180722891,0.8524590163934426,-0.007579498321153455
ME  325,BAE 305,834,708,48,44,0.8489208633093526,0.9166666666666666,-0.06774580335731406
ME  325,ME  340,819,688,887,758,0.8400488400488401,0.85456595264938,-0.014517112600539894
ME  325,WRD 204,1301,1115,60,54,0.857033051498847,0.9,-0.04296694850115301
ME  325,EE  305,1666,1415,42,38,0.8493397358943577,0.9047619047619048,-0.05542216886754703
ME  325,ME  411,1202,1018,142,124,0.8469217970049917,0.8732394366197183,-0.02631763961472655
ME  325,MSE 201,1547,1304,96,90,0.8429217840982547,0.9375,-0.09457821590174531
ME  325,MA  322,1566,1324,228,202,0.8454661558109834,0.8859649122807017,-0.040498756469718344
ME  325,ME  310,438,364,1204,1030,0.8310502283105022,0.8554817275747508,-0.02443149926424859
NFS 302,CHE 232,478,474,35,35,0.9916317991631799,1.0,-0.008368200836820106
NFS 302,BIO 152,479,475,34,34,0.9916492693110647,1.0,-0.008350730688935326
NFS 302,NFS 311,142,140,154,153,0.9859154929577465,0.9935064935064936,-0.007591000548747062
NFS 302,NFS 301,207,204,89,89,0.9855072463768116,1.0,-0.01449275362318836
NFS 302,NFS 212,473,469,40,40,0.9915433403805497,1.0,-0.008456659619450302
NFS 302,ANA 209,445,441,47,47,0.9910112359550561,1.0,-0.008988764044943864
NFS 302,ECO 201,482,478,31,31,0.991701244813278,1.0,-0.008298755186721962
NFS 302,CLA 131,482,478,31,31,0.991701244813278,1.0,-0.008298755186721962
NFS 302,NFS 510,146,145,37,37,0.9931506849315068,1.0,-0.006849315068493178
NFS 302,NFS 312,119,117,177,176,0.9831932773109243,0.9943502824858758,-0.01115700517495144
NFS 302,NFS 403,137,136,46,46,0.9927007299270073,1.0,-0.007299270072992692
NFS 302,PHY 211,481,477,32,32,0.9916839916839917,1.0,-0.008316008316008316
NFS 302,CHE 233,475,471,38,38,0.991578947368421,1.0,-0.008421052631578996
NFS 302,ACC 201,468,464,45,45,0.9914529914529915,1.0,-0.008547008547008517
NFS 302,NFS 474,199,197,45,45,0.9899497487437185,1.0,-0.01005025125628145
NFS 302,HES 100,419,415,94,94,0.9904534606205251,1.0,-0.009546539379474916
NFS 302,PGY 206,400,396,79,79,0.99,1.0,-0.010000000000000009
NFS 302,STA 291,480,476,33,33,0.9916666666666667,1.0,-0.008333333333333304
NFS 302,NFS 340,145,144,38,38,0.993103448275862,1.0,-0.006896551724137945
NFS 302,BIO 208,471,467,42,42,0.9915074309978769,1.0,-0.00849256900212314
HIS 130,ANT 160,675,517,54,47,0.7659259259259259,0.8703703703703703,-0.10444444444444445
HIS 130,PSY 100,696,538,33,26,0.7729885057471264,0.7878787878787878,-0.014890282131661436
HIS 130,ECO 201,676,518,53,46,0.7662721893491125,0.8679245283018868,-0.10165233895277437
HIS 130,CIS 111,572,438,157,126,0.7657342657342657,0.802547770700637,-0.03681350496637126
HIS 130,SOC 101,698,540,31,24,0.7736389684813754,0.7741935483870968,-0.0005545799057213863
HIS 130,WRD 111,577,441,152,123,0.7642980935875217,0.8092105263157895,-0.04491243272826784
HIS 130,MA  123,662,512,67,52,0.7734138972809668,0.7761194029850746,-0.00270550570410788
HIS 130,MA  162,698,538,31,26,0.7707736389684814,0.8387096774193549,-0.06793603845087348
MUP 112,MUC 150,43,42,47,46,0.9767441860465116,0.9787234042553191,-0.0019792182088075316
MUP 112,MUS 001,40,39,56,55,0.975,0.9821428571428571,-0.0071428571428571175
MUP 112,MUC 175,60,58,36,36,0.9666666666666667,1.0,-0.033333333333333326
COM 325,COM 350,521,495,37,37,0.9500959692898272,1.0,-0.0499040307101728
COM 325,COM 312,660,629,36,36,0.953030303030303,1.0,-0.046969696969696995
COM 325,COM 351,1828,1759,356,349,0.962253829321663,0.9803370786516854,-0.018083249330022366
COM 325,COM 249,2060,1985,224,219,0.9635922330097088,0.9776785714285714,-0.014086338418862643
COM 325,ANT 160,2253,2174,31,30,0.9649356413670661,0.967741935483871,-0.002806294116804886
COM 325,CIS 300,1277,1214,103,101,0.9506656225528582,0.9805825242718447,-0.02991690171898642
COM 325,COM 453,1985,1919,131,128,0.9667506297229219,0.9770992366412213,-0.010348606918299419
COM 325,CS  101,2152,2082,65,63,0.9674721189591078,0.9692307692307692,-0.0017586502716614438
COM 325,COM 314,1327,1266,163,157,0.9540316503391107,0.9631901840490797,-0.009158533709968997
COM 325,ECO 201,2252,2173,32,31,0.9649200710479574,0.96875,-0.003829928952042594
COM 325,COM 311,1349,1292,57,56,0.9577464788732394,0.9824561403508771,-0.024709661477637757
COM 325,ACC 202,2239,2160,45,44,0.964716391246092,0.9777777777777777,-0.01306138653168576
COM 325,MGT 301,2146,2068,138,136,0.9636533084808947,0.9855072463768116,-0.02185393789591694
COM 325,COM 365,1781,1715,244,242,0.9629421673217293,0.9918032786885246,-0.028861111366795256
COM 325,LIN 210,1994,1928,127,124,0.966900702106319,0.9763779527559056,-0.0094772506495866
COM 325,SPA 201,2249,2170,35,34,0.9648732770120053,0.9714285714285714,-0.006555294416566104
COM 325,COM 352,987,938,183,175,0.950354609929078,0.9562841530054644,-0.005929543076386379
COM 325,COM 313,1075,1027,96,92,0.9553488372093023,0.9583333333333334,-0.0029844961240310663
COM 325,COM 381,828,791,118,115,0.9553140096618358,0.9745762711864406,-0.019262261524604862
COM 325,COM 399,2211,2132,73,72,0.9642695612844867,0.9863013698630136,-0.022031808578526935
COM 325,STA 200,677,664,35,35,0.9807976366322009,1.0,-0.019202363367799125
COM 325,COM 471,1119,1061,104,100,0.9481680071492404,0.9615384615384616,-0.013370454389221131
COM 325,COM 326,546,519,345,330,0.9505494505494505,0.9565217391304348,-0.0059722885809843085
COM 325,ACC 201,2251,2172,33,32,0.9649044868947134,0.9696969696969697,-0.004792482802256304
COM 325,FIN 300,2218,2138,66,66,0.9639314697926059,1.0,-0.03606853020739409
